E /V	I /uA	E /V	I /uA
0.298	0.285	0.298	0.298
0.298	0.288	0.298	0.293
0.299	0.284	0.299	0.291
0.299	0.296	0.299	0.316
0.300	0.311	0.300	0.310
0.300	0.311	0.300	0.324
0.301	0.313	0.301	0.330
0.301	0.328	0.301	0.341
0.302	0.333	0.302	0.344
0.302	0.338	0.302	0.348
0.303	0.345	0.303	0.357
0.303	0.342	0.303	0.370
0.304	0.361	0.304	0.379
0.304	0.362	0.304	0.376
0.305	0.385	0.305	0.394
0.305	0.382	0.305	0.402
0.306	0.396	0.306	0.413
0.306	0.396	0.306	0.425
0.307	0.417	0.307	0.433
0.307	0.420	0.307	0.442
0.308	0.436	0.308	0.449
0.308	0.440	0.308	0.469
0.309	0.449	0.309	0.479
0.309	0.463	0.309	0.491
0.310	0.474	0.310	0.502
0.310	0.485	0.310	0.509
0.311	0.502	0.311	0.538
0.311	0.508	0.311	0.540
0.312	0.532	0.312	0.551
0.313	0.537	0.313	0.564
0.313	0.555	0.313	0.587
0.314	0.564	0.314	0.598
0.314	0.587	0.314	0.607
0.315	0.601	0.315	0.624
0.315	0.612	0.315	0.646
0.316	0.627	0.316	0.663
0.316	0.647	0.316	0.675
0.317	0.660	0.317	0.692
0.317	0.676	0.317	0.716
0.318	0.696	0.318	0.729
0.318	0.721	0.318	0.755
0.319	0.726	0.319	0.770
0.319	0.750	0.319	0.796
0.320	0.772	0.320	0.807
0.320	0.788	0.320	0.821
0.321	0.802	0.321	0.851
0.321	0.824	0.321	0.868
0.322	0.844	0.322	0.879
0.322	0.867	0.322	0.910
0.323	0.887	0.323	0.930
0.323	0.913	0.323	0.957
0.324	0.933	0.324	0.985
0.324	0.960	0.324	1.005
0.325	0.977	0.325	1.015
0.325	1.005	0.325	1.051
0.326	1.034	0.326	1.078
0.326	1.057	0.326	1.097
0.327	1.075	0.327	1.118
0.327	1.103	0.327	1.141
0.328	1.124	0.328	1.176
0.328	1.153	0.328	1.192
0.329	1.172	0.329	1.216
0.329	1.192	0.329	1.247
0.330	1.226	0.330	1.262
0.330	1.245	0.330	1.291
0.331	1.273	0.331	1.313
0.331	1.304	0.331	1.348
0.332	1.328	0.332	1.371
0.332	1.356	0.332	1.391
0.333	1.377	0.333	1.416
0.333	1.405	0.333	1.440
0.334	1.433	0.334	1.459
0.334	1.462	0.334	1.483
0.335	1.480	0.335	1.502
0.335	1.509	0.335	1.535
0.336	1.529	0.336	1.557
0.336	1.566	0.336	1.568
0.337	1.583	0.337	1.589
0.337	1.617	0.337	1.614
0.338	1.643	0.338	1.633
0.338	1.670	0.338	1.660
0.339	1.681	0.339	1.664
0.339	1.707	0.339	1.686
0.340	1.730	0.340	1.699
0.340	1.739	0.340	1.713
0.341	1.770	0.341	1.725
0.341	1.793	0.341	1.735
0.342	1.810	0.342	1.735
0.342	1.827	0.342	1.741
0.343	1.837	0.343	1.733
0.343	1.851	0.343	1.739
0.344	1.857	0.344	1.736
0.344	1.870	0.344	1.722
0.344	1.868	0.344	1.712
0.345	1.876	0.345	1.686
0.345	1.864	0.345	1.669
0.346	1.857	0.346	1.641
0.346	1.848	0.346	1.606
0.347	1.836	0.347	1.574
0.347	1.804	0.347	1.529
0.348	1.778	0.348	1.482
0.348	1.752	0.348	1.416
0.349	1.701	0.349	1.360
0.349	1.655	0.349	1.288
0.350	1.595	0.350	1.213
0.350	1.526	0.350	1.129
0.351	1.451	0.351	1.051
0.351	1.373	0.351	0.949
0.352	1.287	0.352	0.856
0.352	1.183	0.352	0.768
0.353	1.077	0.353	0.678
0.353	0.966	0.353	0.595
0.354	0.862	0.354	0.518
0.354	0.755	0.354	0.453
0.355	0.637	0.355	0.396
0.355	0.546	0.355	0.353
0.356	0.469	0.356	0.311
0.356	0.396	0.356	0.276
0.357	0.342	0.357	0.261
0.357	0.298	0.357	0.238
0.358	0.276	0.358	0.232
0.358	0.245	0.358	0.216
0.359	0.224	0.359	0.207
0.359	0.212	0.359	0.207
0.360	0.210	0.360	0.192
0.360	0.192	0.360	0.186
0.361	0.184	0.361	0.176
0.361	0.181	0.361	0.181
0.362	0.184	0.362	0.178
0.362	0.172	0.362	0.172
0.363	0.176	0.363	0.173
0.363	0.170	0.363	0.167
0.364	0.169	0.364	0.172
0.364	0.169	0.364	0.153
0.365	0.163	0.365	0.164
0.365	0.164	0.365	0.167
0.366	0.163	0.366	0.158
0.366	0.166	0.366	0.149
0.367	0.164	0.367	0.150
0.367	0.158	0.367	0.158
0.368	0.152	0.368	0.155
0.368	0.150	0.368	0.155
0.369	0.150	0.369	0.155
0.369	0.149	0.369	0.146
0.370	0.157	0.370	0.147
0.370	0.150	0.370	0.150
0.371	0.153	0.371	0.152
0.371	0.152	0.371	0.147
0.372	0.153	0.372	0.144
0.372	0.144	0.372	0.146
0.373	0.144	0.373	0.146
0.373	0.146	0.373	0.155
0.374	0.144	0.374	0.147
0.375	0.144	0.375	0.141
0.375	0.140	0.375	0.143
0.376	0.143	0.376	0.144
0.376	0.143	0.376	0.143
0.377	0.137	0.377	0.138
0.377	0.137	0.377	0.134
0.378	0.143	0.378	0.134
0.378	0.152	0.378	0.147
0.379	0.138	0.379	0.138
0.379	0.135	0.379	0.140
0.380	0.135	0.380	0.137
0.380	0.135	0.380	0.135
0.381	0.132	0.381	0.134
0.381	0.135	0.381	0.134
0.382	0.137	0.382	0.134
0.382	0.129	0.382	0.130
0.383	0.134	0.383	0.134
0.383	0.135	0.383	0.129
0.384	0.130	0.384	0.135
0.384	0.135	0.384	0.135
0.385	0.134	0.385	0.127
0.385	0.129	0.385	0.140
0.386	0.130	0.386	0.126
0.386	0.129	0.386	0.132
0.387	0.130	0.387	0.129
0.387	0.129	0.387	0.137
0.388	0.124	0.388	0.135
0.388	0.134	0.388	0.127
0.389	0.130	0.389	0.132
0.389	0.127	0.389	0.129
0.390	0.130	0.390	0.129
0.390	0.132	0.390	0.129
0.391	0.124	0.391	0.123
0.391	0.126	0.391	0.129
0.392	0.124	0.392	0.124
0.392	0.124	0.392	0.129
0.393	0.132	0.393	0.123
0.393	0.127	0.393	0.130
0.394	0.124	0.394	0.124
0.394	0.129	0.394	0.127
0.395	0.124	0.395	0.134
0.395	0.121	0.395	0.126
0.396	0.120	0.396	0.130
0.396	0.126	0.396	0.126
0.397	0.124	0.397	0.126
0.397	0.126	0.397	0.127
0.398	0.123	0.398	0.126
0.398	0.132	0.398	0.130
0.399	0.124	0.399	0.120
0.399	0.124	0.399	0.126
0.400	0.120	0.400	0.132
0.400	0.123	0.400	0.123
0.401	0.123	0.401	0.120
0.401	0.127	0.401	0.123
0.402	0.132	0.402	0.129
0.402	0.132	0.402	0.124
0.403	0.117	0.403	0.124
0.403	0.124	0.403	0.112
0.404	0.123	0.404	0.123
0.404	0.132	0.404	0.114
0.405	0.120	0.405	0.124
0.405	0.124	0.405	0.124
0.406	0.126	0.406	0.120
0.406	0.120	0.406	0.123
0.406	0.121	0.406	0.124
0.407	0.120	0.407	0.127
0.407	0.123	0.407	0.129
0.408	0.124	0.408	0.120
0.408	0.121	0.408	0.124
0.409	0.120	0.409	0.120
0.409	0.129	0.409	0.123
0.410	0.126	0.410	0.123
0.410	0.123	0.410	0.118
0.411	0.121	0.411	0.118
0.411	0.121	0.411	0.112
0.412	0.118	0.412	0.121
0.412	0.118	0.412	0.121
0.413	0.117	0.413	0.123
0.413	0.123	0.413	0.118
0.414	0.129	0.414	0.123
0.414	0.124	0.414	0.126
0.415	0.121	0.415	0.118
0.415	0.121	0.415	0.127
0.416	0.121	0.416	0.120
0.416	0.118	0.416	0.115
0.417	0.120	0.417	0.118
0.417	0.120	0.417	0.120
0.418	0.124	0.418	0.132
0.418	0.120	0.418	0.123
0.419	0.120	0.419	0.123
0.419	0.115	0.419	0.118
0.420	0.117	0.420	0.130
0.420	0.118	0.420	0.123
0.421	0.114	0.421	0.120
0.421	0.117	0.421	0.117
0.422	0.112	0.422	0.120
0.422	0.124	0.422	0.120
0.423	0.120	0.423	0.121
0.423	0.115	0.423	0.120
0.424	0.120	0.424	0.115
0.424	0.117	0.424	0.121
0.425	0.120	0.425	0.120
0.425	0.120	0.425	0.121
0.426	0.115	0.426	0.114
0.426	0.120	0.426	0.112
0.427	0.117	0.427	0.117
0.427	0.112	0.427	0.115
0.428	0.117	0.428	0.118
0.428	0.115	0.428	0.118
0.429	0.115	0.429	0.107
0.429	0.118	0.429	0.124
0.430	0.112	0.430	0.112
0.430	0.118	0.430	0.123
0.431	0.117	0.431	0.118
0.431	0.111	0.431	0.120
0.432	0.115	0.432	0.118
0.432	0.120	0.432	0.117
0.433	0.118	0.433	0.111
0.433	0.115	0.433	0.118
0.434	0.118	0.434	0.121
0.434	0.118	0.434	0.111
0.435	0.118	0.435	0.117
0.435	0.101	0.435	0.114
0.436	0.117	0.436	0.120
0.436	0.115	0.436	0.112
0.437	0.106	0.437	0.118
0.438	0.115	0.438	0.115
0.438	0.115	0.438	0.123
0.439	0.112	0.439	0.111
0.439	0.117	0.439	0.123
0.440	0.115	0.440	0.115
0.440	0.117	0.440	0.114
0.441	0.115	0.441	0.117
0.441	0.112	0.441	0.115
0.442	0.112	0.442	0.126
0.442	0.109	0.442	0.112
0.443	0.117	0.443	0.127
0.443	0.117	0.443	0.114
0.444	0.104	0.444	0.114
0.444	0.112	0.444	0.117
0.445	0.117	0.445	0.106
0.445	0.106	0.445	0.114
0.446	0.117	0.446	0.121
0.446	0.111	0.446	0.117
0.447	0.120	0.447	0.115
0.447	0.111	0.447	0.109
0.448	0.107	0.448	0.123
0.448	0.112	0.448	0.117
0.449	0.111	0.449	0.114
0.449	0.107	0.449	0.123
0.450	0.109	0.450	0.118
0.450	0.114	0.450	0.112
0.451	0.114	0.451	0.115
0.451	0.115	0.451	0.120
0.452	0.104	0.452	0.115
0.452	0.126	0.452	0.112
0.453	0.111	0.453	0.107
0.453	0.111	0.453	0.114
0.454	0.114	0.454	0.114
0.454	0.115	0.454	0.115
0.455	0.111	0.455	0.117
0.455	0.107	0.455	0.124
0.456	0.111	0.456	0.123
0.456	0.115	0.456	0.109
0.457	0.106	0.457	0.109
0.457	0.111	0.457	0.111
0.458	0.111	0.458	0.112
0.458	0.124	0.458	0.115
0.459	0.112	0.459	0.117
0.459	0.111	0.459	0.111
0.460	0.111	0.460	0.109
0.460	0.114	0.460	0.114
0.461	0.117	0.461	0.114
0.461	0.107	0.461	0.120
0.462	0.120	0.462	0.120
0.462	0.109	0.462	0.117
0.463	0.118	0.463	0.115
0.463	0.114	0.463	0.124
0.464	0.111	0.464	0.118
0.464	0.117	0.464	0.112
0.465	0.111	0.465	0.118
0.465	0.118	0.465	0.114
0.466	0.109	0.466	0.115
0.466	0.120	0.466	0.121
0.467	0.118	0.467	0.117
0.467	0.115	0.467	0.120
0.468	0.115	0.468	0.111
0.468	0.115	0.468	0.115
0.469	0.115	0.469	0.106
0.469	0.112	0.469	0.117
0.469	0.112	0.469	0.117
0.470	0.117	0.470	0.117
0.470	0.114	0.470	0.112
0.471	0.109	0.471	0.126
0.471	0.118	0.471	0.114
0.472	0.112	0.472	0.120
0.472	0.114	0.472	0.118
0.473	0.115	0.473	0.114
0.473	0.114	0.473	0.120
0.474	0.126	0.474	0.123
0.474	0.112	0.474	0.120
0.475	0.117	0.475	0.117
0.475	0.114	0.475	0.126
0.476	0.121	0.476	0.117
0.476	0.127	0.476	0.118
0.477	0.118	0.477	0.115
0.477	0.103	0.477	0.118
0.478	0.120	0.478	0.126
0.478	0.120	0.478	0.120
0.479	0.111	0.479	0.118
0.479	0.115	0.479	0.120
0.480	0.114	0.480	0.120
0.480	0.117	0.480	0.114
0.481	0.115	0.481	0.123
0.481	0.121	0.481	0.120
0.482	0.120	0.482	0.118
0.482	0.120	0.482	0.118
0.483	0.118	0.483	0.120
0.483	0.117	0.483	0.118
0.484	0.118	0.484	0.123
0.484	0.118	0.484	0.121
0.485	0.118	0.485	0.124
0.485	0.114	0.485	0.124
0.486	0.112	0.486	0.126
0.486	0.117	0.486	0.123
0.487	0.123	0.487	0.126
0.487	0.118	0.487	0.127
0.488	0.118	0.488	0.126
0.488	0.117	0.488	0.123
0.489	0.117	0.489	0.137
0.489	0.123	0.489	0.121
0.490	0.123	0.490	0.123
0.490	0.121	0.490	0.123
0.491	0.123	0.491	0.124
0.491	0.123	0.491	0.127
0.492	0.120	0.492	0.123
0.492	0.115	0.492	0.126
0.493	0.126	0.493	0.126
0.493	0.121	0.493	0.130
0.494	0.120	0.494	0.137
0.494	0.130	0.494	0.132
0.495	0.129	0.495	0.130
0.495	0.123	0.495	0.126
0.496	0.123	0.496	0.138
0.496	0.121	0.496	0.132
0.497	0.126	0.497	0.130
0.497	0.114	0.497	0.126
0.498	0.134	0.498	0.135
0.498	0.115	0.498	0.130
0.499	0.124	0.499	0.129
0.500	0.127	0.500	0.135
0.500	0.103	0.500	0.112
0.500	0.074	0.500	0.075
0.499	0.058	0.499	0.057
0.498	0.046	0.498	0.042
0.498	0.035	0.498	0.034
0.497	0.031	0.497	0.032
0.497	0.025	0.497	0.020
0.496	0.023	0.496	0.025
0.496	0.025	0.496	0.022
0.495	0.025	0.495	0.025
0.495	0.025	0.495	0.023
0.494	0.019	0.494	0.020
0.494	0.017	0.494	0.015
0.493	0.012	0.493	0.017
0.493	0.025	0.493	0.019
0.492	0.022	0.492	0.017
0.492	0.017	0.492	0.015
0.491	0.025	0.491	0.012
0.491	0.020	0.491	0.011
0.490	0.015	0.490	0.014
0.490	0.017	0.490	0.014
0.489	0.019	0.489	0.009
0.489	0.015	0.489	0.011
0.488	0.014	0.488	0.012
0.488	0.009	0.488	0.015
0.487	0.020	0.487	0.006
0.487	0.011	0.487	0.009
0.486	0.020	0.486	0.012
0.486	0.012	0.486	0.017
0.485	0.022	0.485	0.003
0.485	0.012	0.485	0.008
0.484	0.015	0.484	0.006
0.484	0.012	0.484	0.006
0.483	0.014	0.483	0.008
0.483	0.006	0.483	0.009
0.482	0.005	0.482	0.012
0.482	0.019	0.482	0.015
0.481	0.012	0.481	0.009
0.481	0.008	0.481	0.003
0.480	0.015	0.480	0.008
0.480	0.009	0.480	0.002
0.479	0.017	0.479	0.011
0.479	0.011	0.479	0.005
0.478	0.014	0.478	0.008
0.478	0.014	0.478	0.003
0.477	0.008	0.477	0.006
0.477	0.006	0.477	0.006
0.476	0.000	0.476	0.008
0.476	0.006	0.476	0.003
0.475	0.009	0.475	0.008
0.475	0.003	0.475	0.008
0.474	0.005	0.474	0.003
0.474	0.006	0.474	0.005
0.473	0.008	0.473	0.003
0.473	0.006	0.473	0.006
0.472	0.005	0.472	0.005
0.472	0.006	0.472	0.003
0.471	0.008	0.471	-0.003
0.471	0.011	0.471	0.002
0.470	0.003	0.470	0.000
0.470	0.003	0.470	0.008
0.469	0.005	0.469	0.000
0.469	-0.001	0.469	-0.001
0.469	0.000	0.469	0.000
0.468	0.002	0.468	-0.001
0.468	0.006	0.468	-0.009
0.467	-0.001	0.467	-0.001
0.467	0.008	0.467	0.002
0.466	0.003	0.466	-0.001
0.466	0.003	0.466	-0.005
0.465	0.003	0.465	0.003
0.465	-0.005	0.465	0.003
0.464	-0.001	0.464	0.006
0.464	0.002	0.464	-0.006
0.463	0.005	0.463	0.002
0.463	0.000	0.463	-0.015
0.462	0.000	0.462	-0.005
0.462	0.006	0.462	0.002
0.461	-0.001	0.461	-0.001
0.461	0.000	0.461	-0.003
0.460	-0.003	0.460	-0.005
0.460	0.000	0.460	-0.011
0.459	-0.003	0.459	-0.003
0.459	-0.005	0.459	-0.001
0.458	-0.001	0.458	-0.008
0.458	0.000	0.458	-0.005
0.457	-0.001	0.457	-0.006
0.457	-0.003	0.457	-0.011
0.456	0.002	0.456	-0.005
0.456	-0.001	0.456	-0.009
0.455	-0.008	0.455	-0.006
0.455	-0.009	0.455	-0.009
0.454	-0.006	0.454	-0.005
0.454	0.003	0.454	-0.021
0.453	-0.009	0.453	-0.014
0.453	-0.006	0.453	-0.006
0.452	-0.006	0.452	-0.011
0.452	-0.005	0.452	-0.011
0.451	-0.011	0.451	-0.009
0.451	-0.006	0.451	-0.009
0.450	-0.006	0.450	-0.009
0.450	-0.003	0.450	-0.006
0.449	-0.003	0.449	-0.005
0.449	-0.011	0.449	-0.012
0.448	-0.011	0.448	-0.012
0.448	-0.008	0.448	-0.015
0.447	-0.012	0.447	-0.012
0.447	0.000	0.447	-0.011
0.446	-0.014	0.446	-0.014
0.446	-0.005	0.446	-0.008
0.445	-0.008	0.445	-0.024
0.445	-0.006	0.445	-0.008
0.444	-0.011	0.444	-0.012
0.444	-0.006	0.444	-0.012
0.443	0.003	0.443	-0.012
0.443	-0.012	0.443	-0.012
0.442	-0.003	0.442	-0.015
0.442	-0.008	0.442	-0.023
0.441	-0.012	0.441	-0.014
0.441	-0.011	0.441	-0.014
0.440	-0.012	0.440	-0.017
0.440	-0.001	0.440	-0.026
0.439	-0.015	0.439	-0.020
0.439	-0.005	0.439	-0.014
0.438	-0.020	0.438	-0.011
0.438	-0.018	0.438	-0.014
0.437	-0.006	0.437	-0.015
0.436	-0.012	0.436	-0.017
0.436	-0.011	0.436	-0.014
0.435	-0.012	0.435	-0.020
0.435	-0.012	0.435	-0.020
0.434	-0.014	0.434	-0.018
0.434	-0.021	0.434	-0.018
0.433	-0.012	0.433	-0.015
0.433	-0.014	0.433	-0.023
0.432	-0.021	0.432	-0.021
0.432	-0.017	0.432	-0.015
0.431	-0.011	0.431	-0.018
0.431	-0.021	0.431	-0.017
0.430	-0.018	0.430	-0.021
0.430	-0.017	0.430	-0.026
0.429	-0.015	0.429	-0.020
0.429	-0.018	0.429	-0.023
0.428	-0.020	0.428	-0.024
0.428	-0.024	0.428	-0.021
0.427	-0.024	0.427	-0.020
0.427	-0.021	0.427	-0.021
0.426	-0.021	0.426	-0.020
0.426	-0.023	0.426	-0.026
0.425	-0.018	0.425	-0.026
0.425	-0.017	0.425	-0.031
0.424	-0.028	0.424	-0.031
0.424	-0.031	0.424	-0.024
0.423	-0.032	0.423	-0.028
0.423	-0.024	0.423	-0.024
0.422	-0.024	0.422	-0.037
0.422	-0.021	0.422	-0.026
0.421	-0.026	0.421	-0.031
0.421	-0.026	0.421	-0.026
0.420	-0.020	0.420	-0.029
0.420	-0.029	0.420	-0.029
0.419	-0.024	0.419	-0.028
0.419	-0.029	0.419	-0.028
0.418	-0.028	0.418	-0.028
0.418	-0.023	0.418	-0.031
0.417	-0.029	0.417	-0.034
0.417	-0.028	0.417	-0.031
0.416	-0.031	0.416	-0.032
0.416	-0.035	0.416	-0.034
0.415	-0.021	0.415	-0.034
0.415	-0.029	0.415	-0.035
0.414	-0.034	0.414	-0.034
0.414	-0.032	0.414	-0.029
0.413	-0.028	0.413	-0.040
0.413	-0.037	0.413	-0.034
0.412	-0.034	0.412	-0.037
0.412	-0.034	0.412	-0.032
0.411	-0.029	0.411	-0.037
0.411	-0.037	0.411	-0.043
0.410	-0.037	0.410	-0.034
0.410	-0.031	0.410	-0.038
0.409	-0.032	0.409	-0.040
0.409	-0.035	0.409	-0.038
0.408	-0.043	0.408	-0.038
0.408	-0.038	0.408	-0.032
0.407	-0.035	0.407	-0.037
0.407	-0.031	0.407	-0.044
0.406	-0.028	0.406	-0.040
0.406	-0.037	0.406	-0.041
0.406	-0.041	0.406	-0.038
0.405	-0.038	0.405	-0.041
0.405	-0.037	0.405	-0.038
0.404	-0.032	0.404	-0.037
0.404	-0.040	0.404	-0.046
0.403	-0.044	0.403	-0.037
0.403	-0.038	0.403	-0.044
0.402	-0.028	0.402	-0.038
0.402	-0.040	0.402	-0.044
0.401	-0.037	0.401	-0.046
0.401	-0.047	0.401	-0.046
0.400	-0.040	0.400	-0.051
0.400	-0.035	0.400	-0.046
0.399	-0.043	0.399	-0.049
0.399	-0.043	0.399	-0.041
0.398	-0.043	0.398	-0.043
0.398	-0.041	0.398	-0.038
0.397	-0.047	0.397	-0.047
0.397	-0.044	0.397	-0.046
0.396	-0.035	0.396	-0.052
0.396	-0.047	0.396	-0.049
0.395	-0.047	0.395	-0.049
0.395	-0.043	0.395	-0.052
0.394	-0.043	0.394	-0.049
0.394	-0.047	0.394	-0.049
0.393	-0.046	0.393	-0.054
0.393	-0.046	0.393	-0.043
0.392	-0.047	0.392	-0.055
0.392	-0.047	0.392	-0.049
0.391	-0.044	0.391	-0.052
0.391	-0.040	0.391	-0.051
0.390	-0.046	0.390	-0.052
0.390	-0.044	0.390	-0.063
0.389	-0.052	0.389	-0.051
0.389	-0.044	0.389	-0.055
0.388	-0.052	0.388	-0.049
0.388	-0.054	0.388	-0.054
0.387	-0.047	0.387	-0.057
0.387	-0.051	0.387	-0.052
0.386	-0.052	0.386	-0.049
0.386	-0.052	0.386	-0.055
0.385	-0.047	0.385	-0.049
0.385	-0.055	0.385	-0.052
0.384	-0.052	0.384	-0.058
0.384	-0.058	0.384	-0.051
0.383	-0.057	0.383	-0.060
0.383	-0.054	0.383	-0.052
0.382	-0.043	0.382	-0.049
0.382	-0.058	0.382	-0.055
0.381	-0.055	0.381	-0.063
0.381	-0.060	0.381	-0.058
0.380	-0.057	0.380	-0.060
0.380	-0.057	0.380	-0.063
0.379	-0.063	0.379	-0.060
0.379	-0.054	0.379	-0.064
0.378	-0.058	0.378	-0.060
0.378	-0.061	0.378	-0.067
0.377	-0.061	0.377	-0.069
0.377	-0.060	0.377	-0.060
0.376	-0.064	0.376	-0.074
0.376	-0.057	0.376	-0.067
0.375	-0.064	0.375	-0.070
0.375	-0.066	0.375	-0.077
0.374	-0.061	0.374	-0.070
0.373	-0.066	0.373	-0.070
0.373	-0.075	0.373	-0.069
0.372	-0.063	0.372	-0.069
0.372	-0.069	0.372	-0.074
0.371	-0.067	0.371	-0.070
0.371	-0.070	0.371	-0.066
0.370	-0.072	0.370	-0.070
0.370	-0.075	0.370	-0.081
0.369	-0.077	0.369	-0.084
0.369	-0.074	0.369	-0.080
0.368	-0.077	0.368	-0.078
0.368	-0.080	0.368	-0.084
0.367	-0.070	0.367	-0.084
0.367	-0.083	0.367	-0.083
0.366	-0.077	0.366	-0.081
0.366	-0.078	0.366	-0.081
0.365	-0.080	0.365	-0.090
0.365	-0.084	0.365	-0.090
0.364	-0.089	0.364	-0.084
0.364	-0.083	0.364	-0.092
0.363	-0.092	0.363	-0.092
0.363	-0.081	0.363	-0.090
0.362	-0.090	0.362	-0.090
0.362	-0.086	0.362	-0.092
0.361	-0.093	0.361	-0.098
0.361	-0.100	0.361	-0.095
0.360	-0.093	0.360	-0.103
0.360	-0.097	0.360	-0.100
0.359	-0.093	0.359	-0.104
0.359	-0.092	0.359	-0.100
0.358	-0.101	0.358	-0.100
0.358	-0.101	0.358	-0.110
0.357	-0.103	0.357	-0.113
0.357	-0.109	0.357	-0.112
0.356	-0.109	0.356	-0.110
0.356	-0.113	0.356	-0.118
0.355	-0.110	0.355	-0.115
0.355	-0.115	0.355	-0.120
0.354	-0.116	0.354	-0.121
0.354	-0.120	0.354	-0.124
0.353	-0.127	0.353	-0.129
0.353	-0.123	0.353	-0.130
0.352	-0.124	0.352	-0.133
0.352	-0.132	0.352	-0.143
0.351	-0.124	0.351	-0.146
0.351	-0.143	0.351	-0.146
0.350	-0.144	0.350	-0.149
0.350	-0.147	0.350	-0.153
0.349	-0.150	0.349	-0.158
0.349	-0.150	0.349	-0.158
0.348	-0.152	0.348	-0.169
0.348	-0.162	0.348	-0.166
0.347	-0.161	0.347	-0.175
0.347	-0.172	0.347	-0.179
0.346	-0.170	0.346	-0.179
0.346	-0.178	0.346	-0.189
0.345	-0.178	0.345	-0.190
0.345	-0.181	0.345	-0.193
0.344	-0.193	0.344	-0.199
0.344	-0.193	0.344	-0.204
0.344	-0.199	0.344	-0.208
0.343	-0.207	0.343	-0.213
0.343	-0.212	0.343	-0.219
0.342	-0.207	0.342	-0.218
0.342	-0.233	0.342	-0.235
0.341	-0.231	0.341	-0.239
0.341	-0.235	0.341	-0.244
0.340	-0.241	0.340	-0.262
0.340	-0.251	0.340	-0.267
0.339	-0.258	0.339	-0.273
0.339	-0.268	0.339	-0.287
0.338	-0.281	0.338	-0.288
0.338	-0.291	0.338	-0.294
0.337	-0.287	0.337	-0.308
0.337	-0.304	0.337	-0.314
0.336	-0.316	0.336	-0.333
0.336	-0.320	0.336	-0.336
0.335	-0.334	0.335	-0.348
0.335	-0.342	0.335	-0.354
0.334	-0.351	0.334	-0.365
0.334	-0.360	0.334	-0.374
0.333	-0.379	0.333	-0.383
0.333	-0.382	0.333	-0.397
0.332	-0.397	0.332	-0.411
0.332	-0.408	0.332	-0.428
0.331	-0.425	0.331	-0.442
0.331	-0.432	0.331	-0.446
0.330	-0.452	0.330	-0.468
0.330	-0.462	0.330	-0.488
0.329	-0.480	0.329	-0.495
0.329	-0.498	0.329	-0.508
0.328	-0.504	0.328	-0.527
0.328	-0.526	0.328	-0.540
0.327	-0.538	0.327	-0.560
0.327	-0.563	0.327	-0.570
0.326	-0.569	0.326	-0.590
0.326	-0.587	0.326	-0.612
0.325	-0.604	0.325	-0.620
0.325	-0.621	0.325	-0.649
0.324	-0.643	0.324	-0.662
0.324	-0.661	0.324	-0.687
0.323	-0.681	0.323	-0.708
0.323	-0.702	0.323	-0.722
0.322	-0.718	0.322	-0.731
0.322	-0.733	0.322	-0.764
0.321	-0.759	0.321	-0.787
0.321	-0.776	0.321	-0.807
0.320	-0.794	0.320	-0.830
0.320	-0.823	0.320	-0.854
0.319	-0.839	0.319	-0.870
0.319	-0.862	0.319	-0.888
0.318	-0.888	0.318	-0.925
0.318	-0.899	0.318	-0.935
0.317	-0.926	0.317	-0.955
0.317	-0.951	0.317	-0.978
0.316	-0.977	0.316	-1.004
0.316	-0.998	0.316	-1.026
0.315	-1.008	0.315	-1.052
0.315	-1.035	0.315	-1.066
0.314	-1.060	0.314	-1.096
0.314	-1.083	0.314	-1.120
0.313	-1.104	0.313	-1.146
0.313	-1.123	0.313	-1.169
0.312	-1.141	0.312	-1.184
0.311	-1.169	0.311	-1.212
0.311	-1.192	0.311	-1.225
0.310	-1.207	0.310	-1.254
0.310	-1.230	0.310	-1.273
0.309	-1.258	0.309	-1.288
0.309	-1.273	0.309	-1.310
0.308	-1.291	0.308	-1.327
0.308	-1.311	0.308	-1.350
0.307	-1.330	0.307	-1.368
0.307	-1.363	0.307	-1.389
0.306	-1.371	0.306	-1.399
0.306	-1.394	0.306	-1.419
0.305	-1.409	0.305	-1.439
0.305	-1.432	0.305	-1.442
0.304	-1.439	0.304	-1.454
0.304	-1.458	0.304	-1.455
0.303	-1.469	0.303	-1.469
0.303	-1.488	0.303	-1.477
0.302	-1.497	0.302	-1.486
0.302	-1.506	0.302	-1.488
0.301	-1.514	0.301	-1.492
0.301	-1.527	0.301	-1.489
0.300	-1.526	0.300	-1.485
0.300	-1.540	0.300	-1.472
0.299	-1.535	0.299	-1.460
0.299	-1.543	0.299	-1.449
0.298	-1.541	0.298	-1.429
0.298	-1.540	0.298	-1.412
0.297	-1.529	0.297	-1.388
0.297	-1.518	0.297	-1.356
0.296	-1.508	0.296	-1.323
0.296	-1.494	0.296	-1.287
0.295	-1.471	0.295	-1.245
0.295	-1.446	0.295	-1.201
0.294	-1.408	0.294	-1.153
0.294	-1.388	0.294	-1.104
0.293	-1.345	0.293	-1.050
0.293	-1.307	0.293	-0.992
0.292	-1.248	0.292	-0.942
0.292	-1.199	0.292	-0.882
0.291	-1.155	0.291	-0.830
0.291	-1.110	0.291	-0.785
0.290	-1.035	0.290	-0.728
0.290	-0.981	0.290	-0.676
0.289	-0.906	0.289	-0.615
0.289	-0.856	0.289	-0.577
0.288	-0.800	0.288	-0.527
0.288	-0.739	0.288	-0.489
