E /V	I /uA	E /V	I /uA
0.131	1.463		
0.132	1.463		
0.133	1.445		
0.134	1.449		
0.135	1.420		
0.136	1.419		
0.137	1.414		
0.138	1.431		
0.139	1.426		
0.140	1.408		
0.141	1.370		
0.142	1.400		
0.143	1.367		
0.144	1.354		
0.145	1.368		
0.146	1.327		
0.147	1.327		
0.148	1.291		
0.149	1.331		
0.150	1.291		
0.151	1.270		
0.152	1.267		
0.153	1.265		
0.154	1.270		
0.155	1.270		
0.156	1.226		
0.157	1.252		
0.158	1.249		
0.159	1.239		
0.160	1.295		
0.161	1.241		
0.162	1.226		
0.163	1.245		
0.164	1.215		
0.165	1.207		
0.166	1.203		
0.167	1.229		
0.168	1.212		
0.169	1.215		
0.170	1.224		
0.171	1.224		
0.172	1.230		
0.173	1.232		
0.174	1.276		
0.175	1.230		
0.176	1.249		
0.177	1.301		
0.178	1.285		
0.179	1.362		
0.180	1.405		
0.181	1.420		
0.182	1.492		
0.183	1.638		
0.184	1.722		
0.185	1.877		
0.186	2.018		
0.187	2.215		
0.188	2.521		
0.189	2.903		
0.190	3.382		
0.191	4.057		
0.192	4.871		
0.193	6.021		
0.194	7.521		
0.195	9.484		
0.196	11.697		
0.197	13.997		
0.198	15.536		
0.199	15.315		
0.200	12.113		
0.201	8.383		
0.202	5.853		
0.203	4.287		
0.204	3.282		
0.205	2.653		
0.206	2.242		
0.207	1.893		
0.208	1.686		
0.209	1.486		
0.210	1.385		
0.211	1.203		
0.212	1.143		
0.213	1.069		
0.214	0.991		
0.215	0.968		
0.216	0.837		
0.217	0.836		
0.218	0.787		
0.219	0.722		
0.220	0.658		
0.221	0.630		
0.222	0.634		
0.223	0.594		
0.224	0.586		
0.225	0.557		
0.226	0.545		
0.227	0.471		
0.228	0.497		
0.229	0.491		
0.230	0.454		
0.231	0.420		
0.232	0.425		
0.233	0.379		
0.234	0.374		
0.235	0.370		
0.236	0.367		
0.237	0.350		
0.238	0.348		
0.239	0.348		
0.240	0.341		
0.241	0.339		
0.242	0.315		
0.243	0.310		
0.244	0.278		
0.245	0.278		
0.246	0.272		
0.247	0.272		
0.248	0.265		
0.249	0.255		
0.250	0.241		
0.251	0.249		
0.252	0.245		
0.253	0.247		
0.254	0.249		
0.255	0.239		
0.256	0.230		
0.257	0.235		
0.258	0.238		
0.259	0.233		
0.260	0.230		
