E /V	I /uA	E /V	I /uA
0.139	-1.529		
0.138	-1.552		
0.137	-1.537		
0.136	-1.524		
0.135	-1.577		
0.134	-1.578		
0.133	-1.603		
0.132	-1.586		
0.131	-1.632		
0.130	-1.619		
0.129	-1.664		
0.128	-1.609		
0.127	-1.682		
0.126	-1.664		
0.125	-1.642		
0.124	-1.667		
0.123	-1.675		
0.122	-1.687		
0.121	-1.710		
0.120	-1.685		
0.119	-1.733		
0.118	-1.738		
0.117	-1.681		
0.116	-1.719		
0.115	-1.738		
0.114	-1.744		
0.113	-1.753		
0.112	-1.770		
0.111	-1.800		
0.110	-1.784		
0.109	-1.765		
0.108	-1.797		
0.107	-1.790		
0.106	-1.846		
0.105	-1.807		
0.104	-1.839		
0.103	-1.836		
0.102	-1.880		
0.101	-1.906		
