E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.030	-1.073	0.030	-1.057	0.030	-1.047	0.030	-1.034	0.030	-1.027
0.029	-1.087	0.029	-1.069	0.029	-1.050	0.029	-1.044	0.029	-1.038
0.028	-1.095	0.028	-1.072	0.028	-1.057	0.028	-1.049	0.028	-1.038
0.027	-1.109	0.027	-1.083	0.027	-1.077	0.027	-1.064	0.027	-1.049
0.026	-1.101	0.026	-1.087	0.026	-1.070	0.026	-1.058	0.026	-1.047
0.025	-1.115	0.025	-1.089	0.025	-1.081	0.025	-1.067	0.025	-1.060
0.024	-1.118	0.024	-1.093	0.024	-1.086	0.024	-1.073	0.024	-1.066
0.023	-1.130	0.023	-1.106	0.023	-1.098	0.023	-1.081	0.023	-1.073
0.022	-1.139	0.022	-1.106	0.022	-1.093	0.022	-1.081	0.022	-1.080
0.021	-1.141	0.021	-1.113	0.021	-1.104	0.021	-1.084	0.021	-1.086
0.020	-1.147	0.020	-1.123	0.020	-1.113	0.020	-1.103	0.020	-1.089
0.019	-1.162	0.019	-1.141	0.019	-1.127	0.019	-1.118	0.019	-1.107
0.018	-1.164	0.018	-1.132	0.018	-1.123	0.018	-1.112	0.018	-1.106
0.017	-1.167	0.017	-1.136	0.017	-1.126	0.017	-1.118	0.017	-1.109
0.016	-1.175	0.016	-1.149	0.016	-1.133	0.016	-1.120	0.016	-1.110
0.015	-1.187	0.015	-1.156	0.015	-1.146	0.015	-1.126	0.015	-1.120
0.014	-1.189	0.014	-1.152	0.014	-1.138	0.014	-1.141	0.014	-1.123
0.013	-1.195	0.013	-1.164	0.013	-1.150	0.013	-1.144	0.013	-1.127
0.012	-1.199	0.012	-1.166	0.012	-1.156	0.012	-1.149	0.012	-1.133
0.011	-1.215	0.011	-1.179	0.011	-1.167	0.011	-1.156	0.011	-1.153
0.010	-1.218	0.010	-1.178	0.010	-1.164	0.010	-1.153	0.010	-1.150
0.009	-1.224	0.009	-1.184	0.009	-1.176	0.009	-1.161	0.009	-1.155
0.008	-1.225	0.008	-1.184	0.008	-1.173	0.008	-1.169	0.008	-1.161
0.007	-1.235	0.007	-1.195	0.007	-1.192	0.007	-1.173	0.007	-1.167
0.006	-1.231	0.006	-1.192	0.006	-1.182	0.006	-1.172	0.006	-1.166
0.005	-1.231	0.005	-1.210	0.005	-1.193	0.005	-1.185	0.005	-1.176
0.004	-1.250	0.004	-1.212	0.004	-1.198	0.004	-1.184	0.004	-1.179
0.003	-1.276	0.003	-1.239	0.003	-1.227	0.003	-1.218	0.003	-1.205
0.002	-1.262	0.002	-1.219	0.002	-1.205	0.002	-1.195	0.002	-1.187
0.001	-1.258	0.001	-1.222	0.001	-1.205	0.001	-1.202	0.001	-1.192
0.000	-1.258	0.000	-1.225	0.000	-1.212	0.000	-1.201	0.000	-1.192
-0.001	-1.265	-0.001	-1.231	-0.001	-1.225	-0.001	-1.208	-0.001	-1.202
-0.002	-1.264	-0.002	-1.230	-0.002	-1.222	-0.002	-1.215	-0.002	-1.207
-0.003	-1.279	-0.003	-1.239	-0.003	-1.224	-0.003	-1.213	-0.003	-1.210
-0.004	-1.277	-0.004	-1.238	-0.004	-1.233	-0.004	-1.224	-0.004	-1.212
-0.005	-1.290	-0.005	-1.254	-0.005	-1.236	-0.005	-1.230	-0.005	-1.228
-0.006	-1.290	-0.006	-1.251	-0.006	-1.242	-0.006	-1.219	-0.006	-1.224
-0.007	-1.293	-0.007	-1.250	-0.007	-1.247	-0.007	-1.233	-0.007	-1.235
-0.008	-1.291	-0.008	-1.261	-0.008	-1.245	-0.008	-1.239	-0.008	-1.228
-0.009	-1.308	-0.009	-1.262	-0.009	-1.262	-0.009	-1.245	-0.009	-1.241
-0.010	-1.081	-0.010	-1.046	-0.010	-1.034	-0.010	-1.031	-0.010	-1.026
-0.009	-0.589	-0.009	-0.563	-0.009	-0.549	-0.009	-0.549	-0.009	-0.552
-0.008	-0.178	-0.008	-0.152	-0.008	-0.152	-0.008	-0.156	-0.008	-0.156
-0.007	0.135	-0.007	0.157	-0.007	0.149	-0.007	0.147	-0.007	0.140
-0.006	0.351	-0.006	0.365	-0.006	0.362	-0.006	0.354	-0.006	0.347
-0.005	0.522	-0.005	0.529	-0.005	0.528	-0.005	0.525	-0.005	0.518
-0.004	0.629	-0.004	0.635	-0.004	0.627	-0.004	0.624	-0.004	0.615
-0.003	0.715	-0.003	0.715	-0.003	0.712	-0.003	0.707	-0.003	0.693
-0.002	0.772	-0.002	0.770	-0.002	0.765	-0.002	0.759	-0.002	0.749
-0.001	0.818	-0.001	0.819	-0.001	0.818	-0.001	0.811	-0.001	0.796
0.000	0.851	0.000	0.847	0.000	0.839	0.000	0.837	0.000	0.828
0.001	0.879	0.001	0.885	0.001	0.876	0.001	0.867	0.001	0.859
0.002	0.896	0.002	0.896	0.002	0.883	0.002	0.885	0.002	0.876
0.003	0.942	0.003	0.936	0.003	0.936	0.003	0.922	0.003	0.911
0.004	0.936	0.004	0.925	0.004	0.923	0.004	0.920	0.004	0.914
0.005	0.948	0.005	0.949	0.005	0.930	0.005	0.926	0.005	0.919
0.006	0.953	0.006	0.942	0.006	0.942	0.006	0.937	0.006	0.933
0.007	0.976	0.007	0.966	0.007	0.956	0.007	0.948	0.007	0.939
0.008	0.974	0.008	0.963	0.008	0.953	0.008	0.948	0.008	0.946
0.009	0.989	0.009	0.971	0.009	0.968	0.009	0.963	0.009	0.953
0.010	0.986	0.010	0.972	0.010	0.974	0.010	0.962	0.010	0.959
0.011	1.006	0.011	1.000	0.011	0.985	0.011	0.979	0.011	0.974
0.012	1.003	0.012	0.983	0.012	0.985	0.012	0.977	0.012	0.966
0.013	1.008	0.013	0.997	0.013	0.988	0.013	0.982	0.013	0.979
0.014	1.000	0.014	0.994	0.014	0.985	0.014	0.982	0.014	0.971
0.015	1.017	0.015	1.003	0.015	0.994	0.015	0.992	0.015	0.982
0.016	1.018	0.016	1.014	0.016	0.991	0.016	0.985	0.016	0.982
0.017	1.020	0.017	1.009	0.017	0.994	0.017	0.989	0.017	0.982
0.018	1.015	0.018	1.003	0.018	0.994	0.018	0.992	0.018	0.977
0.019	1.037	0.019	1.017	0.019	1.009	0.019	1.008	0.019	0.995
0.020	1.029	0.020	1.008	0.020	1.005	0.020	0.995	0.020	0.989
0.021	1.031	0.021	1.012	0.021	0.997	0.021	1.000	0.021	0.988
0.022	1.028	0.022	1.008	0.022	0.999	0.022	0.991	0.022	0.985
0.023	1.034	0.023	1.015	0.023	1.003	0.023	0.999	0.023	0.991
0.024	1.023	0.024	1.011	0.024	0.999	0.024	0.988	0.024	0.988
0.025	1.032	0.025	1.009	0.025	0.999	0.025	0.995	0.025	0.988
0.026	1.023	0.026	1.006	0.026	1.002	0.026	0.986	0.026	0.985
0.027	1.037	0.027	1.020	0.027	1.002	0.027	0.992	0.027	0.989
0.028	1.028	0.028	1.006	0.028	0.995	0.028	0.989	0.028	0.983
0.029	1.028	0.029	1.003	0.029	0.991	0.029	0.991	0.029	0.980
0.030	1.015	0.030	0.999	0.030	0.992	0.030	0.986	0.030	0.979
0.031	1.026	0.031	1.011	0.031	1.000	0.031	0.985	0.031	0.979
0.032	1.022	0.032	1.002	0.032	0.989	0.032	0.986	0.032	0.977
0.033	1.025	0.033	0.999	0.033	0.985	0.033	0.983	0.033	0.974
0.034	1.011	0.034	0.995	0.034	0.980	0.034	0.979	0.034	0.974
0.035	1.028	0.035	1.005	0.035	0.997	0.035	0.991	0.035	0.976
0.036	1.018	0.036	0.983	0.036	0.979	0.036	0.972	0.036	0.960
0.037	1.008	0.037	0.989	0.037	0.977	0.037	0.968	0.037	0.966
0.038	1.002	0.038	0.983	0.038	0.969	0.038	0.956	0.038	0.957
0.039	1.008	0.039	0.986	0.039	0.972	0.039	0.966	0.039	0.963
0.040	0.997	0.040	0.979	0.040	0.968	0.040	0.962	0.040	0.953
0.041	1.000	0.041	0.980	0.041	0.957	0.041	0.962	0.041	0.949
0.042	0.997	0.042	0.969	0.042	0.960	0.042	0.951	0.042	0.946
0.043	0.999	0.043	0.979	0.043	0.966	0.043	0.960	0.043	0.948
0.044	0.986	0.044	0.969	0.044	0.956	0.044	0.951	0.044	0.936
0.045	0.988	0.045	0.966	0.045	0.959	0.045	0.945	0.045	0.940
0.046	0.983	0.046	0.957	0.046	0.948	0.046	0.934	0.046	0.925
0.047	0.985	0.047	0.954	0.047	0.949	0.047	0.937	0.047	0.922
0.048	0.980	0.048	0.948	0.048	0.936	0.048	0.928	0.048	0.920
0.049	0.976	0.049	0.943	0.049	0.936	0.049	0.926	0.049	0.914
0.050	0.968	0.050	0.942	0.050	0.926	0.050	0.922	0.050	0.910
0.051	0.976	0.051	0.948	0.051	0.936	0.051	0.928	0.051	0.914
0.052	0.965	0.052	0.942	0.052	0.922	0.052	0.917	0.052	0.903
0.053	0.959	0.053	0.937	0.053	0.923	0.053	0.913	0.053	0.903
0.054	0.953	0.054	0.928	0.054	0.913	0.054	0.903	0.054	0.894
0.055	0.946	0.055	0.928	0.055	0.914	0.055	0.899	0.055	0.888
0.056	0.937	0.056	0.914	0.056	0.903	0.056	0.893	0.056	0.891
0.057	0.943	0.057	0.908	0.057	0.900	0.057	0.893	0.057	0.876
0.058	0.930	0.058	0.914	0.058	0.891	0.058	0.882	0.058	0.871
0.059	0.933	0.059	0.911	0.059	0.896	0.059	0.883	0.059	0.873
0.060	0.919	0.060	0.893	0.060	0.882	0.060	0.876	0.060	0.865
0.061	0.919	0.061	0.896	0.061	0.876	0.061	0.874	0.061	0.856
0.062	0.908	0.062	0.885	0.062	0.868	0.062	0.865	0.062	0.848
0.063	0.908	0.063	0.882	0.063	0.870	0.063	0.864	0.063	0.850
0.064	0.900	0.064	0.876	0.064	0.859	0.064	0.845	0.064	0.842
0.065	0.896	0.065	0.867	0.065	0.860	0.065	0.857	0.065	0.839
0.066	0.888	0.066	0.865	0.066	0.851	0.066	0.836	0.066	0.830
