E /V	I /uA	E /V	I /uA	E /V	I /uA
-0.004	0.712	-0.004	0.755	-0.004	0.785
-0.003	0.837	-0.003	0.870	-0.003	0.902
-0.002	0.931	-0.002	0.954	-0.002	0.980
-0.001	1.003	-0.001	1.029	-0.001	1.043
0.000	1.055	0.000	1.077	0.000	1.089
0.001	1.106	0.001	1.115	0.001	1.133
0.002	1.138	0.002	1.144	0.002	1.164
0.003	1.196	0.003	1.210	0.003	1.224
0.004	1.196	0.004	1.193	0.004	1.207
0.005	1.227	0.005	1.229	0.005	1.229
0.006	1.235	0.006	1.227	0.006	1.241
0.007	1.261	0.007	1.259	0.007	1.264
0.008	1.270	0.008	1.267	0.008	1.273
0.009	1.293	0.009	1.281	0.009	1.288
0.010	1.308	0.010	1.291	0.010	1.293
0.011	1.334	0.011	1.325	0.011	1.318
0.012	1.333	0.012	1.319	0.012	1.319
0.013	1.347	0.013	1.339	0.013	1.331
0.014	1.350	0.014	1.334	0.014	1.328
0.015	1.371	0.015	1.351	0.015	1.348
0.016	1.373	0.016	1.351	0.016	1.339
0.017	1.383	0.017	1.359	0.017	1.360
0.018	1.394	0.018	1.370	0.018	1.357
0.019	1.413	0.019	1.391	0.019	1.377
0.020	1.408	0.020	1.385	0.020	1.373
0.021	1.423	0.021	1.388	0.021	1.382
0.022	1.410	0.022	1.385	0.022	1.379
0.023	1.420	0.023	1.400	0.023	1.388
0.024	1.422	0.024	1.396	0.024	1.385
0.025	1.434	0.025	1.402	0.025	1.391
0.026	1.423	0.026	1.406	0.026	1.387
0.027	1.443	0.027	1.417	0.027	1.403
0.028	1.436	0.028	1.414	0.028	1.402
0.029	1.449	0.029	1.422	0.029	1.405
0.030	1.442	0.030	1.414	0.030	1.397
0.031	1.449	0.031	1.423	0.031	1.411
0.032	1.445	0.032	1.419	0.032	1.408
0.033	1.453	0.033	1.426	0.033	1.411
0.034	1.451	0.034	1.411	0.034	1.406
0.035	1.469	0.035	1.440	0.035	1.436
0.036	1.451	0.036	1.413	0.036	1.408
0.037	1.456	0.037	1.423	0.037	1.405
0.038	1.454	0.038	1.420	0.038	1.399
0.039	1.462	0.039	1.436	0.039	1.408
0.040	1.449	0.040	1.419	0.040	1.405
0.041	1.454	0.041	1.426	0.041	1.411
0.042	1.451	0.042	1.419	0.042	1.396
0.043	1.465	0.043	1.431	0.043	1.417
0.044	1.456	0.044	1.416	0.044	1.400
0.045	1.453	0.045	1.417	0.045	1.400
0.046	1.456	0.046	1.416	0.046	1.402
0.047	1.456	0.047	1.422	0.047	1.400
0.048	1.446	0.048	1.410	0.048	1.393
0.049	1.440	0.049	1.413	0.049	1.397
0.050	1.442	0.050	1.413	0.050	1.387
0.051	1.463	0.051	1.423	0.051	1.399
0.052	1.445	0.052	1.413	0.052	1.391
0.053	1.446	0.053	1.405	0.053	1.380
0.054	1.429	0.054	1.399	0.054	1.377
0.055	1.436	0.055	1.417	0.055	1.383
0.056	1.434	0.056	1.385	0.056	1.368
0.057	1.431	0.057	1.383	0.057	1.368
0.058	1.414	0.058	1.385	0.058	1.365
0.059	1.423	0.059	1.408	0.059	1.373
0.060	1.413	0.060	1.380	0.060	1.359
0.061	1.403	0.061	1.377	0.061	1.354
0.062	1.403	0.062	1.371	0.062	1.342
0.063	1.406	0.063	1.374	0.063	1.348
0.064	1.391	0.064	1.359	0.064	1.337
0.065	1.399	0.065	1.364	0.065	1.337
0.066	1.387	0.066	1.350	0.066	1.328
0.067	1.416	0.067	1.376	0.067	1.342
0.068	1.388	0.068	1.351	0.068	1.327
0.069	1.379	0.069	1.347	0.069	1.321
0.070	1.368	0.070	1.334	0.070	1.301
0.071	1.370	0.071	1.333	0.071	1.313
0.072	1.356	0.072	1.318	0.072	1.298
0.073	1.354	0.073	1.325	0.073	1.295
0.074	1.341	0.074	1.311	0.074	1.284
0.075	1.360	0.075	1.322	0.075	1.296
0.076	1.327	0.076	1.299	0.076	1.276
0.077	1.336	0.077	1.299	0.077	1.270
0.078	1.322	0.078	1.284	0.078	1.265
0.079	1.328	0.079	1.291	0.079	1.259
0.080	1.308	0.080	1.275	0.080	1.250
0.081	1.308	0.081	1.270	0.081	1.247
0.082	1.295	0.082	1.259	0.082	1.236
0.083	1.310	0.083	1.273	0.083	1.242
0.084	1.298	0.084	1.241	0.084	1.221
0.085	1.279	0.085	1.244	0.085	1.229
0.086	1.261	0.086	1.235	0.086	1.204
0.087	1.267	0.087	1.227	0.087	1.206
0.088	1.256	0.088	1.215	0.088	1.190
0.089	1.253	0.089	1.213	0.089	1.199
0.090	1.238	0.090	1.203	0.090	1.178
0.091	1.244	0.091	1.207	0.091	1.181
0.092	1.226	0.092	1.189	0.092	1.163
0.093	1.218	0.093	1.190	0.093	1.161
0.094	1.209	0.094	1.178	0.094	1.146
0.095	1.210	0.095	1.170	0.095	1.149
0.096	1.192	0.096	1.157	0.096	1.135
0.097	1.187	0.097	1.157	0.097	1.127
0.098	1.173	0.098	1.143	0.098	1.118
0.099	1.184	0.099	1.149	0.099	1.120
0.100	1.160	0.100	1.127	0.100	1.101
0.101	1.153	0.101	1.123	0.101	1.094
0.102	1.146	0.102	1.101	0.102	1.080
0.103	1.140	0.103	1.103	0.103	1.077
0.104	1.132	0.104	1.094	0.104	1.071
0.105	1.120	0.105	1.087	0.105	1.063
0.106	1.110	0.106	1.072	0.106	1.049
0.107	1.115	0.107	1.077	0.107	1.049
0.108	1.095	0.108	1.058	0.108	1.035
0.109	1.086	0.109	1.057	0.109	1.028
0.110	1.072	0.110	1.038	0.110	1.017
0.111	1.072	0.111	1.034	0.111	1.015
0.112	1.057	0.112	1.025	0.112	0.995
0.113	1.048	0.113	1.011	0.113	0.999
0.114	1.040	0.114	1.002	0.114	0.983
0.115	1.048	0.115	1.008	0.115	0.985
0.116	1.022	0.116	0.991	0.116	0.966
0.117	1.018	0.117	0.986	0.117	0.954
0.118	1.008	0.118	0.969	0.118	0.949
0.119	1.003	0.119	0.968	0.119	0.936
0.120	0.986	0.120	0.962	0.120	0.933
0.121	0.982	0.121	0.943	0.121	0.917
0.122	0.968	0.122	0.936	0.122	0.910
0.123	0.976	0.123	0.931	0.123	0.911
0.124	0.960	0.124	0.923	0.124	0.897
0.125	0.954	0.125	0.917	0.125	0.887
0.126	0.936	0.126	0.903	0.126	0.880
0.127	0.934	0.127	0.902	0.127	0.879
0.128	0.923	0.128	0.887	0.128	0.865
0.129	0.914	0.129	0.891	0.129	0.859
0.130	0.907	0.130	0.868	0.130	0.851
0.131	0.914	0.131	0.877	0.131	0.856
0.132	0.890	0.132	0.859	0.132	0.834
0.133	0.879	0.133	0.848	0.133	0.818
0.134	0.876	0.134	0.842	0.134	0.810
0.135	0.871	0.135	0.833	0.135	0.813
0.136	0.856	0.136	0.819	0.136	0.793
0.137	0.851	0.137	0.818	0.137	0.791
0.138	0.839	0.138	0.802	0.138	0.782
0.139	0.837	0.139	0.804	0.139	0.781
0.140	0.830	0.140	0.795	0.140	0.770
0.141	0.828	0.141	0.782	0.141	0.770
0.142	0.814	0.142	0.776	0.142	0.753
0.143	0.811	0.143	0.772	0.143	0.752
0.144	0.796	0.144	0.765	0.144	0.735
0.145	0.793	0.145	0.765	0.145	0.738
0.146	0.785	0.146	0.752	0.146	0.721
0.147	0.788	0.147	0.749	0.147	0.730
0.148	0.773	0.148	0.742	0.148	0.718
0.149	0.773	0.149	0.729	0.149	0.709
0.150	0.761	0.150	0.724	0.150	0.698
0.151	0.755	0.151	0.724	0.151	0.696
0.152	0.749	0.152	0.713	0.152	0.681
0.153	0.741	0.153	0.704	0.153	0.689
0.154	0.738	0.154	0.696	0.154	0.675
0.155	0.735	0.155	0.712	0.155	0.681
0.156	0.724	0.156	0.692	0.156	0.667
0.157	0.719	0.157	0.690	0.157	0.663
0.158	0.710	0.158	0.673	0.158	0.658
0.159	0.715	0.159	0.678	0.159	0.657
0.160	0.707	0.160	0.672	0.160	0.647
0.161	0.709	0.161	0.669	0.161	0.644
0.162	0.703	0.162	0.663	0.162	0.644
0.163	0.703	0.163	0.664	0.163	0.644
0.164	0.690	0.164	0.652	0.164	0.632
0.165	0.690	0.165	0.653	0.165	0.634
0.166	0.681	0.166	0.647	0.166	0.626
0.167	0.681	0.167	0.649	0.167	0.630
0.168	0.681	0.168	0.641	0.168	0.615
0.169	0.683	0.169	0.646	0.169	0.620
0.170	0.676	0.170	0.638	0.170	0.618
0.171	0.680	0.171	0.646	0.171	0.614
0.172	0.673	0.172	0.640	0.172	0.609
0.173	0.673	0.173	0.637	0.173	0.617
0.174	0.675	0.174	0.630	0.174	0.611
0.175	0.680	0.175	0.635	0.175	0.609
0.176	0.669	0.176	0.632	0.176	0.607
0.177	0.675	0.177	0.637	0.177	0.612
0.178	0.670	0.178	0.637	0.178	0.609
0.179	0.684	0.179	0.637	0.179	0.617
0.180	0.673	0.180	0.634	0.180	0.618
0.181	0.673	0.181	0.638	0.181	0.615
0.182	0.672	0.182	0.635	0.182	0.614
0.183	0.680	0.183	0.643	0.183	0.620
0.184	0.678	0.184	0.644	0.184	0.618
0.185	0.683	0.185	0.643	0.185	0.624
0.186	0.684	0.186	0.644	0.186	0.618
0.187	0.689	0.187	0.649	0.187	0.630
0.188	0.684	0.188	0.650	0.188	0.620
0.189	0.689	0.189	0.657	0.189	0.632
0.190	0.695	0.190	0.653	0.190	0.635
0.191	0.699	0.191	0.653	0.191	0.635
0.192	0.695	0.192	0.663	0.192	0.635
0.193	0.696	0.193	0.660	0.193	0.634
0.194	0.699	0.194	0.661	0.194	0.638
0.195	0.716	0.195	0.669	0.195	0.647
0.196	0.707	0.196	0.667	0.196	0.637
0.197	0.706	0.197	0.667	0.197	0.641
0.198	0.712	0.198	0.666	0.198	0.637
0.199	0.716	0.199	0.672	0.199	0.641
0.200	0.703	0.200	0.669	0.200	0.637
0.201	0.706	0.201	0.669	0.201	0.637
0.202	0.707	0.202	0.666	0.202	0.638
0.203	0.709	0.203	0.667	0.203	0.635
0.204	0.709	0.204	0.664	0.204	0.629
0.205	0.712	0.205	0.661	0.205	0.626
0.206	0.706	0.206	0.649	0.206	0.630
0.207	0.707	0.207	0.658	0.207	0.629
0.208	0.703	0.208	0.652	0.208	0.615
0.209	0.703	0.209	0.649	0.209	0.623
0.210	0.695	0.210	0.649	0.210	0.621
0.211	0.698	0.211	0.647	0.211	0.621
0.212	0.693	0.212	0.649	0.212	0.612
0.213	0.692	0.213	0.638	0.213	0.612
0.214	0.687	0.214	0.632	0.214	0.600
0.215	0.686	0.215	0.643	0.215	0.601
0.216	0.673	0.216	0.620	0.216	0.600
0.217	0.672	0.217	0.609	0.217	0.589
