E /V	I /uA	E /V	I /uA
0.062	1.316	0.062	1.287
0.063	1.310	0.063	1.299
0.064	1.308	0.064	1.291
0.065	1.302	0.065	1.288
0.066	1.296	0.066	1.290
0.067	1.321	0.067	1.302
0.068	1.288	0.068	1.273
0.069	1.285	0.069	1.272
0.070	1.276	0.070	1.262
0.071	1.275	0.071	1.256
0.072	1.262	0.072	1.245
0.073	1.261	0.073	1.249
0.074	1.255	0.074	1.233
0.075	1.258	0.075	1.235
0.076	1.229	0.076	1.226
0.077	1.239	0.077	1.222
0.078	1.224	0.078	1.207
0.079	1.226	0.079	1.210
0.080	1.212	0.080	1.196
0.081	1.209	0.081	1.196
0.082	1.195	0.082	1.181
0.083	1.209	0.083	1.199
0.084	1.192	0.084	1.175
0.085	1.181		
0.086	1.170		
0.087	1.173		
0.088	1.160		
0.089	1.161		
0.090	1.144		
0.091	1.141		
0.092	1.129		
0.093	1.126		
0.094	1.112		
0.095	1.107		
0.096	1.098		
0.097	1.091		
0.098	1.084		
0.099	1.086		
0.100	1.069		
0.101	1.057		
0.102	1.043		
0.103	1.041		
0.104	1.028		
0.105	1.025		
0.106	1.008		
0.107	1.011		
0.108	0.999		
0.109	0.989		
0.110	0.983		
0.111	0.974		
0.112	0.962		
0.113	0.953		
0.114	0.939		
0.115	0.948		
0.116	0.933		
0.117	0.926		
0.118	0.908		
0.119	0.913		
0.120	0.893		
0.121	0.893		
0.122	0.877		
0.123	0.870		
0.124	0.860		
0.125	0.854		
0.126	0.834		
0.127	0.839		
0.128	0.824		
0.129	0.827		
0.130	0.805		
0.131	0.808		
0.132	0.791		
0.133	0.793		
0.134	0.779		
0.135	0.778		
0.136	0.767		
0.137	0.758		
0.138	0.744		
0.139	0.747		
0.140	0.739		
0.141	0.727		
0.142	0.715		
0.143	0.718		
0.144	0.706		
0.145	0.701		
0.146	0.696		
0.147	0.699		
0.148	0.681		
0.149	0.684		
0.150	0.672		
0.151	0.666		
0.152	0.655		
0.153	0.650		
0.154	0.641		
0.155	0.646		
0.156	0.640		
0.157	0.632		
0.158	0.629		
0.159	0.624		
0.160	0.618		
0.161	0.620		
0.162	0.607		
0.163	0.618		
0.164	0.603		
0.165	0.598		
0.166	0.595		
0.167	0.604		
0.168	0.591		
0.169	0.591		
0.170	0.581		
0.171	0.595		
0.172	0.587		
0.173	0.586		
0.174	0.584		
0.175	0.589		
0.176	0.578		
0.177	0.583		
0.178	0.589		
0.179	0.592		
0.180	0.583		
0.181	0.587		
0.182	0.586		
0.183	0.592		
0.184	0.589		
0.185	0.594		
0.186	0.597		
0.187	0.607		
0.188	0.597		
0.189	0.601		
0.190	0.604		
0.191	0.606		
0.192	0.601		
0.193	0.604		
0.194	0.604		
0.195	0.618		
0.196	0.614		
0.197	0.614		
0.198	0.611		
0.199	0.615		
0.200	0.614		
0.201	0.611		
0.202	0.614		
0.203	0.609		
0.204	0.604		
0.205	0.603		
0.206	0.603		
0.207	0.607		
0.208	0.601		
0.209	0.598		
0.210	0.587		
0.211	0.594		
0.212	0.591		
0.213	0.580		
0.214	0.581		
0.215	0.578		
0.216	0.572		
0.217	0.560		
0.218	0.560		
0.219	0.555		
0.220	0.543		
0.221	0.537		
0.222	0.529		
0.223	0.528		
0.224	0.520		
0.225	0.509		
0.226	0.502		
0.227	0.486		
0.228	0.472		
0.229	0.477		
0.230	0.466		
0.231	0.457		
0.232	0.445		
0.233	0.439		
0.234	0.423		
0.235	0.422		
0.236	0.419		
0.237	0.413		
0.238	0.399		
0.239	0.399		
0.240	0.391		
0.241	0.380		
0.242	0.376		
0.243	0.377		
0.244	0.370		
0.245	0.373		
0.246	0.365		
0.247	0.359		
0.248	0.356		
0.249	0.351		
0.250	0.348		
0.251	0.348		
0.252	0.345		
0.253	0.353		
0.254	0.345		
0.255	0.350		
0.256	0.344		
0.257	0.342		
0.258	0.341		
0.259	0.356		
0.260	0.347		
0.261	0.344		
0.262	0.347		
0.263	0.350		
0.264	0.348		
0.265	0.342		
0.266	0.350		
0.267	0.345		
0.268	0.347		
0.269	0.345		
0.270	0.344		
0.271	0.350		
0.272	0.347		
0.273	0.350		
0.274	0.348		
0.275	0.351		
0.276	0.347		
0.277	0.351		
0.278	0.356		
0.279	0.353		
0.280	0.353		
0.281	0.356		
0.282	0.357		
0.283	0.362		
0.284	0.359		
0.285	0.365		
0.286	0.364		
0.287	0.361		
0.288	0.368		
0.289	0.364		
0.290	0.364		
0.291	0.373		
0.292	0.370		
0.293	0.373		
0.294	0.373		
0.295	0.371		
0.296	0.382		
0.297	0.379		
0.298	0.382		
0.299	0.379		
0.300	0.385		
0.301	0.387		
0.302	0.396		
0.303	0.388		
0.304	0.397		
0.305	0.397		
0.306	0.399		
0.307	0.410		
0.308	0.408		
0.309	0.408		
0.310	0.410		
0.311	0.410		
0.312	0.422		
0.313	0.422		
0.314	0.422		
0.315	0.433		
0.316	0.433		
0.317	0.434		
0.318	0.437		
0.319	0.442		
0.320	0.445		
0.321	0.442		
0.322	0.439		
0.323	0.449		
0.324	0.448		
0.325	0.453		
0.326	0.442		
0.327	0.440		
0.328	0.433		
0.329	0.430		
0.330	0.428		
0.331	0.428		
0.332	0.419		
0.333	0.419		
0.334	0.396		
0.335	0.396		
0.336	0.385		
0.337	0.382		
0.338	0.371		
0.339	0.361		
0.340	0.350		
0.341	0.342		
0.342	0.328		
0.343	0.321		
0.344	0.310		
0.345	0.307		
0.346	0.290		
0.347	0.281		
0.348	0.276		
0.349	0.267		
0.350	0.264		
0.351	0.261		
0.352	0.258		
0.353	0.249		
0.354	0.239		
0.355	0.238		
0.356	0.233		
0.357	0.232		
0.358	0.222		
0.359	0.222		
0.360	0.212		
0.361	0.213		
0.362	0.212		
0.363	0.210		
0.364	0.207		
0.365	0.204		
0.366	0.204		
0.367	0.204		
0.368	0.195		
0.369	0.193		
0.370	0.190		
0.371	0.198		
0.372	0.189		
0.373	0.187		
0.374	0.186		
0.375	0.190		
0.376	0.189		
0.377	0.186		
0.378	0.183		
0.379	0.187		
0.380	0.180		
0.381	0.173		
0.382	0.175		
0.383	0.180		
0.384	0.176		
0.385	0.172		
0.386	0.173		
0.387	0.175		
0.388	0.176		
0.389	0.178		
0.390	0.172		
0.391	0.183		
0.392	0.172		
0.393	0.172		
0.394	0.180		
0.395	0.172		
0.396	0.172		
0.397	0.173		
0.398	0.178		
0.399	0.173		
0.400	0.170		
0.401	0.169		
0.402	0.178		
0.403	0.176		
0.404	0.170		
0.405	0.178		
0.406	0.187		
0.407	0.175		
0.408	0.176		
0.409	0.175		
0.410	0.173		
0.411	0.183		
0.412	0.180		
0.413	0.181		
0.414	0.178		
0.415	0.178		
0.416	0.181		
0.417	0.178		
0.418	0.183		
0.419	0.181		
0.420	0.178		
0.421	0.175		
0.422	0.180		
0.423	0.178		
0.424	0.183		
0.425	0.183		
0.426	0.180		
0.427	0.178		
0.428	0.175		
0.429	0.186		
0.430	0.173		
0.431	0.181		
0.432	0.180		
0.433	0.176		
0.434	0.175		
0.435	0.183		
0.436	0.180		
0.437	0.170		
0.438	0.180		
0.439	0.176		
0.440	0.181		
0.441	0.173		
0.442	0.178		
0.443	0.187		
0.444	0.176		
0.445	0.184		
0.446	0.181		
0.447	0.176		
0.448	0.186		
0.449	0.183		
0.450	0.175		
0.451	0.176		
0.452	0.181		
0.453	0.176		
0.454	0.176		
0.455	0.184		
0.456	0.184		
0.457	0.181		
0.458	0.178		
0.459	0.183		
0.460	0.181		
0.461	0.189		
0.462	0.183		
0.463	0.184		
0.464	0.184		
0.465	0.195		
0.466	0.184		
0.467	0.181		
0.468	0.192		
0.469	0.193		
0.470	0.189		
0.471	0.183		
0.472	0.190		
0.473	0.187		
0.474	0.189		
0.475	0.196		
0.476	0.198		
0.477	0.199		
0.478	0.201		
0.479	0.204		
0.480	0.206		
0.481	0.204		
0.482	0.206		
0.483	0.207		
0.484	0.206		
0.485	0.206		
0.486	0.203		
0.487	0.216		
0.488	0.215		
0.489	0.216		
0.490	0.219		
0.491	0.222		
0.492	0.229		
0.493	0.235		
0.494	0.226		
0.495	0.239		
0.496	0.239		
0.497	0.245		
0.498	0.239		
0.499	0.264		
0.500	0.249		
0.501	0.247		
0.502	0.256		
0.503	0.262		
0.504	0.264		
0.505	0.267		
0.506	0.270		
0.507	0.273		
0.508	0.275		
0.509	0.275		
0.510	0.288		
0.511	0.293		
0.512	0.291		
0.513	0.298		
0.514	0.307		
0.515	0.310		
0.516	0.321		
0.517	0.316		
0.518	0.328		
0.519	0.324		
0.520	0.333		
0.521	0.342		
0.522	0.356		
0.523	0.359		
0.524	0.364		
0.525	0.365		
0.526	0.374		
0.527	0.380		
0.528	0.387		
0.529	0.394		
0.530	0.400		
0.531	0.407		
0.532	0.407		
0.533	0.411		
0.534	0.420		
0.535	0.431		
0.536	0.445		
0.537	0.439		
0.538	0.446		
0.539	0.454		
0.540	0.463		
0.541	0.469		
0.542	0.476		
0.543	0.474		
0.544	0.492		
0.545	0.492		
0.546	0.502		
0.547	0.514		
0.548	0.517		
0.549	0.525		
0.550	0.523		
0.551	0.531		
0.552	0.540		
0.553	0.545		
0.554	0.551		
0.555	0.560		
0.556	0.564		
0.557	0.568		
0.558	0.571		
0.559	0.584		
0.560	0.589		
0.561	0.589		
0.562	0.595		
0.563	0.598		
0.564	0.607		
0.565	0.612		
0.566	0.618		
0.567	0.623		
0.568	0.626		
0.569	0.630		
0.570	0.635		
0.571	0.644		
0.572	0.647		
0.573	0.650		
0.574	0.653		
0.575	0.667		
0.576	0.666		
0.577	0.664		
0.578	0.672		
0.579	0.680		
0.580	0.687		
0.581	0.690		
0.582	0.689		
0.583	0.699		
0.584	0.703		
0.585	0.703		
0.586	0.707		
0.587	0.722		
