E /V	I /uA	E /V	I /uA
0.215	-0.483		
0.214	-0.485		
0.213	-0.497		
0.212	-0.503		
0.211	-0.506		
0.210	-0.514		
0.209	-0.515		
0.208	-0.524		
0.207	-0.534		
0.206	-0.538		
0.205	-0.538		
0.204	-0.546		
0.203	-0.554		
0.202	-0.564		
0.201	-0.561		
0.200	-0.566		
0.199	-0.569		
0.198	-0.581		
0.197	-0.578		
0.196	-0.581		
0.195	-0.592		
0.194	-0.592		
0.193	-0.592		
0.192	-0.592		
0.191	-0.597		
0.190	-0.597		
0.189	-0.600		
0.188	-0.603		
0.187	-0.606		
0.186	-0.606		
0.185	-0.604		
0.184	-0.606		
0.183	-0.607		
0.182	-0.610		
0.181	-0.612		
0.180	-0.610		
0.179	-0.615		
0.178	-0.613		
0.177	-0.610		
0.176	-0.609		
0.175	-0.613		
0.174	-0.613		
0.173	-0.618		
0.172	-0.615		
0.171	-0.627		
0.170	-0.620		
0.169	-0.620		
0.168	-0.618		
0.167	-0.624		
0.166	-0.627		
0.165	-0.626		
0.164	-0.627		
0.163	-0.629		
0.162	-0.632		
0.161	-0.630		
0.160	-0.639		
0.159	-0.623		
0.158	-0.639		
0.157	-0.641		
0.156	-0.641		
0.155	-0.724		
0.154	-0.595		
0.153	-0.613		
0.152	-0.685		
0.151	-0.719		
0.150	-0.650		
0.149	-0.647		
0.148	-0.673		
0.147	-0.687		
0.146	-0.695		
0.145	-0.696		
0.144	-0.676		
0.143	-0.710		
0.142	-0.744		
0.141	-0.728		
0.140	-0.693		
0.139	-0.712		
0.138	-0.762		
0.137	-0.770		
0.136	-0.756		
0.135	-0.747		
0.134	-0.768		
0.133	-0.788		
0.132	-0.788		
0.131	-0.797		
0.130	-0.787		
0.129	-0.814		
0.128	-0.837		
0.127	-0.830		
0.126	-0.811		
0.125	-0.823		
0.124	-0.863		
0.123	-0.870		
0.122	-0.863		
0.121	-0.876		
0.120	-0.894		
0.119	-0.905		
0.118	-0.900		
0.117	-0.903		
0.116	-0.919		
0.115	-0.945		
0.114	-0.962		
0.113	-0.946		
0.112	-0.952		
0.111	-0.968		
0.110	-0.981		
0.109	-0.985		
0.108	-0.989		
0.107	-1.008		
0.106	-1.023		
0.105	-1.034		
0.104	-1.032		
0.103	-1.029		
0.102	-1.043		
0.101	-1.066		
