E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.246	0.135	0.246	0.120	0.246	0.088	0.246	0.132	0.246	0.126	0.246	0.149	0.246	0.207	0.246	0.204	0.246	0.219
0.246	0.121	0.246	0.088	0.246	0.078	0.246	0.106	0.246	0.157	0.246	0.138	0.246	0.169	0.246	0.129	0.246	0.178
0.247	0.132	0.247	0.077	0.247	0.061	0.247	0.072	0.247	0.144	0.247	0.152	0.247	0.189	0.247	0.173	0.247	0.167
0.247	0.121	0.247	0.121	0.247	0.091	0.247	0.104	0.247	0.172	0.247	0.149	0.247	0.189	0.247	0.184	0.247	0.115
0.248	0.118	0.248	0.114	0.248	0.086	0.248	0.092	0.248	0.115	0.248	0.146	0.248	0.135	0.248	0.111	0.248	0.143
0.248	0.098	0.248	0.097	0.248	0.078	0.248	0.126	0.248	0.112	0.248	0.112	0.248	0.098	0.248	0.176	0.248	0.210
0.249	0.104	0.249	0.083	0.249	0.138	0.249	0.140	0.249	0.135	0.249	0.068	0.249	0.101	0.249	0.146	0.249	0.126
0.250	0.121	0.250	0.091	0.250	0.146	0.250	0.149	0.250	0.160	0.250	0.091	0.250	0.135	0.250	0.173	0.250	0.173
0.250	0.100	0.250	0.028	0.250	0.129	0.250	0.127	0.250	0.172	0.250	0.138	0.250	0.137	0.250	0.181	0.250	0.130
0.251	0.118	0.251	0.077	0.251	0.132	0.251	0.143	0.251	0.106	0.251	0.160	0.251	0.155	0.251	0.169	0.251	0.186
0.251	0.051	0.251	0.123	0.251	0.146	0.251	0.104	0.251	0.077	0.251	0.138	0.251	0.195	0.251	0.098	0.251	0.196
0.252	0.063	0.252	0.101	0.252	0.112	0.252	0.055	0.252	0.084	0.252	0.143	0.252	0.114	0.252	0.117	0.252	0.203
0.252	0.075	0.252	0.130	0.252	0.129	0.252	0.078	0.252	0.091	0.252	0.109	0.252	0.098	0.252	0.134	0.252	0.141
0.253	0.144	0.253	0.089	0.253	0.117	0.253	0.161	0.253	0.114	0.253	0.166	0.253	0.063	0.253	0.149	0.253	0.167
0.253	0.140	0.253	0.080	0.253	0.117	0.253	0.126	0.253	0.075	0.253	0.111	0.253	0.063	0.253	0.118	0.253	0.149
0.254	0.101	0.254	0.081	0.254	0.120	0.254	0.074	0.254	0.035	0.254	0.132	0.254	0.138	0.254	0.127	0.254	0.149
0.254	0.046	0.254	0.040	0.254	0.049	0.254	0.075	0.254	0.068	0.254	0.081	0.254	0.215	0.254	0.166	0.254	0.144
0.255	0.106	0.255	0.061	0.255	0.017	0.255	0.060	0.255	0.071	0.255	0.097	0.255	0.127	0.255	0.104	0.255	0.095
0.255	0.141	0.255	0.101	0.255	0.100	0.255	0.098	0.255	0.153	0.255	0.107	0.255	0.181	0.255	0.176	0.255	0.104
0.256	0.074	0.256	0.088	0.256	0.083	0.256	0.023	0.256	0.095	0.256	0.166	0.256	0.155	0.256	0.123	0.256	0.180
0.256	0.023	0.256	0.069	0.256	0.075	0.256	0.146	0.256	0.106	0.256	0.170	0.256	0.088	0.256	0.124	0.256	0.150
0.257	0.109	0.257	0.057	0.257	0.046	0.257	0.065	0.257	0.115	0.257	0.127	0.257	0.109	0.257	0.147	0.257	0.176
0.257	0.094	0.257	0.055	0.257	0.035	0.257	0.143	0.257	0.172	0.257	0.094	0.257	0.149	0.257	0.173	0.257	0.152
0.258	0.051	0.258	0.092	0.258	0.081	0.258	0.130	0.258	0.078	0.258	0.071	0.258	0.141	0.258	0.144	0.258	0.100
0.258	0.058	0.258	0.111	0.258	0.072	0.258	0.155	0.258	0.140	0.258	0.098	0.258	0.132	0.258	0.141	0.258	0.049
0.259	0.045	0.259	0.095	0.259	0.068	0.259	0.084	0.259	0.121	0.259	0.144	0.259	0.118	0.259	0.098	0.259	0.167
0.259	0.060	0.259	0.060	0.259	0.026	0.259	0.101	0.259	0.130	0.259	0.129	0.259	0.106	0.259	0.080	0.259	0.097
0.260	0.106	0.260	0.063	0.260	0.038	0.260	0.071	0.260	0.161	0.260	0.072	0.260	0.146	0.260	0.069	0.260	0.100
0.260	0.118	0.260	0.117	0.260	0.043	0.260	0.078	0.260	0.118	0.260	0.069	0.260	0.106	0.260	0.114	0.260	0.149
0.261	0.052	0.261	0.043	0.261	0.026	0.261	0.107	0.261	0.112	0.261	0.107	0.261	0.084	0.261	0.163	0.261	0.172
0.261	0.022	0.261	0.081	0.261	0.014	0.261	0.132	0.261	0.089	0.261	0.114	0.261	0.121	0.261	0.163	0.261	0.132
0.262	0.020	0.262	0.066	0.262	0.019	0.262	0.124	0.262	0.115	0.262	0.054	0.262	0.101	0.262	0.123	0.262	0.152
0.262	0.012	0.262	0.118	0.262	0.032	0.262	0.043	0.262	0.129	0.262	0.103	0.262	0.014	0.262	0.063	0.262	0.170
0.263	0.037	0.263	0.060	0.263	0.072	0.263	0.075	0.263	0.109	0.263	0.135	0.263	0.065	0.263	0.072	0.263	0.134
0.263	0.019	0.263	0.104	0.263	0.066	0.263	0.104	0.263	0.069	0.263	0.109	0.263	0.104	0.263	0.112	0.263	0.129
0.264	0.080	0.264	0.089	0.264	0.052	0.264	0.074	0.264	0.081	0.264	0.040	0.264	0.114	0.264	0.115	0.264	0.072
0.264	0.091	0.264	0.055	0.264	0.103	0.264	0.112	0.264	0.141	0.264	0.081	0.264	0.138	0.264	0.130	0.264	0.121
0.265	0.046	0.265	0.072	0.265	0.083	0.265	0.058	0.265	0.091	0.265	0.098	0.265	0.089	0.265	0.069	0.265	0.150
0.265	0.098	0.265	0.060	0.265	0.097	0.265	0.046	0.265	0.072	0.265	0.120	0.265	0.077	0.265	0.051	0.265	0.143
0.266	0.048	0.266	0.009	0.266	0.058	0.266	0.103	0.266	0.045	0.266	0.074	0.266	0.112	0.266	0.066	0.266	0.107
0.266	0.038	0.266	0.032	0.266	0.005	0.266	0.089	0.266	0.063	0.266	0.032	0.266	0.126	0.266	0.084	0.266	0.063
0.267	0.075	0.267	0.048	0.267	0.015	0.267	0.127	0.267	0.092	0.267	0.080	0.267	0.104	0.267	0.092	0.267	0.069
0.267	0.103	0.267	0.043	0.267	0.045	0.267	0.091	0.267	0.084	0.267	0.043	0.267	0.107	0.267	0.134	0.267	0.118
0.268	0.127	0.268	0.080	0.268	0.074	0.268	0.075	0.268	0.034	0.268	0.095	0.268	0.127	0.268	0.104	0.268	0.160
0.268	0.086	0.268	0.091	0.268	0.084	0.268	0.115	0.268	0.037	0.268	0.112	0.268	0.120	0.268	0.045	0.268	0.123
0.269	0.084	0.269	0.048	0.269	0.074	0.269	0.022	0.269	0.088	0.269	0.118	0.269	0.149	0.269	0.146	0.269	0.060
0.269	0.037	0.269	0.071	0.269	0.015	0.269	0.052	0.269	0.055	0.269	0.112	0.269	0.132	0.269	0.081	0.269	0.134
0.270	0.100	0.270	0.035	0.270	0.005	0.270	0.031	0.270	0.094	0.270	0.084	0.270	0.095	0.270	0.071	0.270	0.144
0.270	0.083	0.270	0.040	0.270	0.037	0.270	0.092	0.270	0.077	0.270	0.066	0.270	0.057	0.270	0.055	0.270	0.126
0.271	0.084	0.271	0.031	0.271	0.020	0.271	0.103	0.271	0.051	0.271	0.049	0.271	0.112	0.271	0.078	0.271	0.101
0.271	0.123	0.271	0.035	0.271	0.103	0.271	0.100	0.271	0.045	0.271	0.058	0.271	0.107	0.271	0.104	0.271	0.091
0.272	0.077	0.272	0.084	0.272	0.094	0.272	0.075	0.272	0.072	0.272	0.083	0.272	0.048	0.272	0.107	0.272	0.118
0.272	0.012	0.272	0.095	0.272	0.077	0.272	0.081	0.272	0.100	0.272	0.086	0.272	0.054	0.272	0.068	0.272	0.101
0.273	0.052	0.273	0.083	0.273	0.037	0.273	0.057	0.273	0.066	0.273	0.091	0.273	0.068	0.273	0.048	0.273	0.103
0.273	0.034	0.273	0.080	0.273	0.025	0.273	0.046	0.273	0.038	0.273	0.107	0.273	0.080	0.273	0.045	0.273	0.074
0.274	0.092	0.274	0.089	0.274	0.057	0.274	0.078	0.274	0.103	0.274	0.086	0.274	0.112	0.274	0.109	0.274	0.127
0.274	0.078	0.274	0.063	0.274	0.120	0.274	0.089	0.274	0.045	0.274	0.072	0.274	0.083	0.274	0.124	0.274	0.081
0.275	0.025	0.275	0.029	0.275	0.049	0.275	0.095	0.275	0.034	0.275	0.032	0.275	0.043	0.275	0.106	0.275	0.115
0.275	-0.001	0.275	0.046	0.275	0.040	0.275	0.078	0.275	0.034	0.275	0.081	0.275	0.061	0.275	0.124	0.275	0.061
0.276	0.051	0.276	0.080	0.276	0.063	0.276	0.055	0.276	0.088	0.276	0.068	0.276	0.049	0.276	0.069	0.276	0.103
0.276	0.071	0.276	0.104	0.276	0.068	0.276	0.052	0.276	0.052	0.276	0.025	0.276	0.084	0.276	0.017	0.276	0.091
0.277	0.117	0.277	0.121	0.277	0.058	0.277	0.080	0.277	0.071	0.277	0.086	0.277	0.095	0.277	0.051	0.277	0.057
0.277	0.101	0.277	0.054	0.277	0.005	0.277	0.037	0.277	0.043	0.277	0.091	0.277	0.072	0.277	0.054	0.277	0.107
0.278	0.057	0.278	0.031	0.278	0.002	0.278	0.037	0.278	0.017	0.278	0.083	0.278	0.015	0.278	0.103	0.278	0.101
0.278	0.098	0.278	0.043	0.278	0.074	0.278	0.074	0.278	0.035	0.278	0.118	0.278	0.032	0.278	0.058	0.278	0.104
0.279	0.111	0.279	0.040	0.279	0.078	0.279	0.111	0.279	0.081	0.279	0.091	0.279	0.072	0.279	0.048	0.279	0.083
0.279	0.026	0.279	0.012	0.279	0.084	0.279	0.144	0.279	0.091	0.279	0.069	0.279	0.066	0.279	0.014	0.279	0.032
0.280	0.034	0.280	0.058	0.280	0.020	0.280	0.060	0.280	0.103	0.280	0.117	0.280	0.080	0.280	0.026	0.280	0.094
0.280	0.091	0.280	0.022	0.280	0.015	0.280	0.063	0.280	0.060	0.280	0.057	0.280	0.046	0.280	0.054	0.280	0.095
0.281	0.097	0.281	0.015	0.281	0.017	0.281	0.084	0.281	0.017	0.281	0.000	0.281	0.060	0.281	0.100	0.281	0.083
0.281	0.020	0.281	0.042	0.281	-0.006	0.281	0.098	0.281	0.020	0.281	0.055	0.281	0.081	0.281	0.055	0.281	0.038
0.281	0.035	0.281	0.031	0.281	0.022	0.281	0.086	0.281	0.038	0.281	0.074	0.281	0.081	0.281	0.086	0.281	0.066
0.282	0.043	0.282	0.106	0.282	0.075	0.282	0.080	0.282	0.034	0.282	0.107	0.282	0.037	0.282	0.045	0.282	0.086
0.282	0.074	0.282	0.072	0.282	0.077	0.282	0.081	0.282	0.035	0.282	0.107	0.282	0.040	0.282	0.055	0.282	0.029
0.283	0.068	0.283	0.072	0.283	0.051	0.283	0.025	0.283	0.057	0.283	0.072	0.283	0.038	0.283	0.060	0.283	0.075
0.283	0.035	0.283	0.048	0.283	0.006	0.283	0.098	0.283	0.081	0.283	0.023	0.283	0.089	0.283	0.078	0.283	0.101
0.284	0.048	0.284	0.012	0.284	0.028	0.284	0.137	0.284	0.043	0.284	0.101	0.284	0.098	0.284	0.014	0.284	0.094
0.284	0.057	0.284	0.066	0.284	0.000	0.284	0.117	0.284	0.126	0.284	0.109	0.284	0.075	0.284	0.025	0.284	0.051
0.285	0.098	0.285	0.106	0.285	0.048	0.285	0.104	0.285	0.129	0.285	0.074	0.285	0.045	0.285	0.080	0.285	0.043
0.285	0.071	0.285	0.077	0.285	0.049	0.285	0.118	0.285	0.049	0.285	0.042	0.285	0.081	0.285	0.083	0.285	0.063
0.286	0.075	0.286	0.075	0.286	0.084	0.286	0.100	0.286	0.005	0.286	0.071	0.286	0.098	0.286	0.069	0.286	0.112
0.286	0.052	0.286	0.043	0.286	0.042	0.286	0.066	0.286	0.084	0.286	0.101	0.286	0.038	0.286	0.045	0.286	0.100
0.287	0.011	0.287	0.077	0.287	0.035	0.287	0.051	0.287	0.083	0.287	0.104	0.287	0.048	0.287	0.075	0.287	0.045
0.287	0.034	0.287	0.089	0.287	0.031	0.287	0.121	0.287	0.051	0.287	0.074	0.287	0.081	0.287	0.095	0.287	0.052
0.288	0.052	0.288	0.098	0.288	0.011	0.288	0.121	0.288	0.028	0.288	0.061	0.288	0.077	0.288	0.052	0.288	0.098
0.288	0.017	0.288	0.068	0.288	0.034	0.288	0.092	0.288	0.022	0.288	0.055	0.288	0.048	0.288	0.065	0.288	0.106
0.289	0.083	0.289	0.075	0.289	0.078	0.289	0.058	0.289	0.045	0.289	0.038	0.289	0.026	0.289	0.074	0.289	0.058
0.289	0.094	0.289	0.077	0.289	0.080	0.289	0.040	0.289	0.075	0.289	0.003	0.289	0.020	0.289	0.084	0.289	0.029
0.290	0.103	0.290	0.063	0.290	0.040	0.290	0.081	0.290	0.103	0.290	0.025	0.290	0.083	0.290	0.072	0.290	0.031
0.290	0.026	0.290	0.051	0.290	0.040	0.290	0.080	0.290	0.051	0.290	0.020	0.290	0.088	0.290	0.037	0.290	0.112
0.291	0.043	0.291	0.081	0.291	0.065	0.291	0.084	0.291	0.051	0.291	0.094	0.291	0.066	0.291	0.028	0.291	0.086
0.291	0.038	0.291	0.060	0.291	0.068	0.291	0.071	0.291	0.061	0.291	0.098	0.291	0.086	0.291	0.022	0.291	0.098
0.292	0.042	0.292	0.014	0.292	0.034	0.292	0.049	0.292	0.091	0.292	0.086	0.292	0.088	0.292	0.052	0.292	0.104
0.292	0.095	0.292	0.032	0.292	0.054	0.292	0.020	0.292	0.063	0.292	0.017	0.292	0.092	0.292	0.080	0.292	0.055
0.293	0.035	0.293	0.037	0.293	0.066	0.293	0.069	0.293	0.038	0.293	0.012	0.293	0.104	0.293	0.112	0.293	0.045
0.293	0.023	0.293	0.081	0.293	0.078	0.293	0.107	0.293	0.071	0.293	0.078	0.293	0.111	0.293	0.092	0.293	0.025
0.294	0.049	0.294	0.095	0.294	0.054	0.294	0.104	0.294	0.069	0.294	0.022	0.294	0.072	0.294	0.035	0.294	0.045
0.294	0.068	0.294	0.080	0.294	0.031	0.294	0.068	0.294	0.091	0.294	0.046	0.294	0.054	0.294	0.029	0.294	0.061
0.295	0.100	0.295	0.074	0.295	0.031	0.295	0.054	0.295	0.080	0.295	0.075	0.295	0.037	0.295	0.034	0.295	0.023
0.295	0.111	0.295	0.112	0.295	0.042	0.295	0.017	0.295	0.035	0.295	0.065	0.295	0.061	0.295	0.097	0.295	0.048
0.296	0.040	0.296	0.049	0.296	0.083	0.296	0.063	0.296	0.038	0.296	0.045	0.296	0.077	0.296	0.088	0.296	0.054
0.296	0.040	0.296	0.081	0.296	0.083	0.296	0.042	0.296	0.063	0.296	0.037	0.296	0.040	0.296	0.028	0.296	0.100
0.297	0.058	0.297	0.058	0.297	0.065	0.297	0.068	0.297	0.065	0.297	0.035	0.297	0.003	0.297	0.095	0.297	0.084
0.297	0.000	0.297	0.019	0.297	0.034	0.297	0.055	0.297	0.063	0.297	0.009	0.297	0.023	0.297	0.103	0.297	0.038
0.298	0.005	0.298	0.054	0.298	0.042	0.298	0.063	0.298	0.120	0.298	0.040	0.298	0.084	0.298	0.101	0.298	0.052
0.298	0.060	0.298	0.120	0.298	0.019	0.298	0.109	0.298	0.038	0.298	0.072	0.298	0.065	0.298	0.089	0.298	0.034
0.299	0.028	0.299	0.061	0.299	0.019	0.299	0.121	0.299	0.101	0.299	0.084	0.299	0.048	0.299	0.037	0.299	0.043
0.299	0.084	0.299	0.055	0.299	0.051	0.299	0.042	0.299	0.075	0.299	0.071	0.299	0.058	0.299	0.025	0.299	0.098
0.300	0.103	0.300	0.028	0.300	0.038	0.300	0.043	0.300	0.051	0.300	0.051	0.300	0.043	0.300	0.037	0.300	0.025
0.300	0.091	0.300	0.037	0.300	0.051	0.300	0.043	0.300	0.032	0.300	0.008	0.300	0.055	0.300	0.045	0.300	0.043
0.301	0.121	0.301	0.045	0.301	0.045	0.301	0.100	0.301	0.037	0.301	0.032	0.301	0.078	0.301	0.052	0.301	0.088
0.301	0.104	0.301	0.114	0.301	0.052	0.301	0.107	0.301	0.038	0.301	0.084	0.301	-0.006	0.301	0.035	0.301	0.054
0.302	0.124	0.302	0.045	0.302	0.071	0.302	0.046	0.302	0.078	0.302	0.077	0.302	0.075	0.302	0.069	0.302	0.052
0.302	0.115	0.302	0.046	0.302	0.069	0.302	0.080	0.302	0.094	0.302	0.042	0.302	0.100	0.302	0.072	0.302	0.019
0.303	0.103	0.303	0.038	0.303	0.034	0.303	0.077	0.303	0.097	0.303	0.015	0.303	0.114	0.303	0.072	0.303	0.068
0.303	0.084	0.303	0.061	0.303	0.008	0.303	0.077	0.303	0.060	0.303	0.022	0.303	0.098	0.303	0.037	0.303	0.071
0.304	0.071	0.304	0.118	0.304	0.038	0.304	0.095	0.304	0.083	0.304	0.078	0.304	0.077	0.304	0.055	0.304	0.078
0.304	0.104	0.304	0.080	0.304	0.043	0.304	0.121	0.304	0.055	0.304	0.055	0.304	0.054	0.304	0.084	0.304	0.043
0.305	0.068	0.305	0.092	0.305	0.068	0.305	0.083	0.305	0.025	0.305	0.020	0.305	0.055	0.305	0.084	0.305	0.092
0.305	0.111	0.305	0.089	0.305	0.037	0.305	0.048	0.305	0.100	0.305	0.034	0.305	0.025	0.305	0.083	0.305	0.066
0.306	0.130	0.306	0.019	0.306	0.057	0.306	0.048	0.306	0.081	0.306	0.072	0.306	0.031	0.306	0.071	0.306	0.009
0.306	0.091	0.306	0.022	0.306	0.084	0.306	0.054	0.306	0.111	0.306	0.035	0.306	0.057	0.306	0.055	0.306	0.089
0.307	0.114	0.307	0.057	0.307	0.040	0.307	0.100	0.307	0.058	0.307	0.020	0.307	0.080	0.307	0.032	0.307	0.092
0.307	0.109	0.307	0.115	0.307	0.034	0.307	0.060	0.307	0.048	0.307	0.029	0.307	0.088	0.307	0.061	0.307	0.060
0.308	0.078	0.308	0.028	0.308	0.035	0.308	0.103	0.308	0.038	0.308	0.034	0.308	0.046	0.308	0.111	0.308	0.037
0.308	0.040	0.308	0.049	0.308	0.083	0.308	0.092	0.308	0.045	0.308	0.057	0.308	0.088	0.308	0.097	0.308	0.055
0.309	0.061	0.309	0.072	0.309	0.052	0.309	0.043	0.309	0.094	0.309	0.063	0.309	0.074	0.309	0.069	0.309	0.084
0.309	0.098	0.309	0.084	0.309	0.066	0.309	0.035	0.309	0.114	0.309	0.038	0.309	0.091	0.309	0.034	0.309	0.063
0.310	0.057	0.310	0.046	0.310	0.051	0.310	0.103	0.310	0.088	0.310	0.069	0.310	0.043	0.310	0.046	0.310	0.058
0.310	0.054	0.310	0.009	0.310	0.038	0.310	0.100	0.310	0.065	0.310	0.081	0.310	0.060	0.310	0.097	0.310	0.074
0.311	0.034	0.311	0.034	0.311	0.042	0.311	0.078	0.311	0.055	0.311	0.069	0.311	0.083	0.311	0.060	0.311	0.088
0.311	0.048	0.311	0.063	0.311	0.060	0.311	0.109	0.311	0.034	0.311	0.043	0.311	0.075	0.311	0.049	0.311	0.092
0.312	0.020	0.312	0.089	0.312	0.088	0.312	0.061	0.312	0.042	0.312	0.052	0.312	0.038	0.312	0.068	0.312	0.088
0.313	0.014	0.313	0.069	0.313	0.049	0.313	0.034	0.313	0.048	0.313	0.075	0.313	0.088	0.313	0.109	0.313	0.066
0.313	0.051	0.313	0.038	0.313	0.015	0.313	0.038	0.313	0.029	0.313	0.065	0.313	0.086	0.313	0.081	0.313	0.069
0.314	0.048	0.314	0.066	0.314	0.081	0.314	0.109	0.314	0.028	0.314	0.045	0.314	0.094	0.314	0.066	0.314	0.089
0.314	0.012	0.314	0.080	0.314	0.084	0.314	0.078	0.314	0.020	0.314	0.049	0.314	0.078	0.314	0.032	0.314	0.069
0.315	0.069	0.315	0.117	0.315	0.009	0.315	0.031	0.315	0.120	0.315	0.063	0.315	0.042	0.315	0.035	0.315	0.049
0.315	0.026	0.315	0.069	0.315	0.032	0.315	0.083	0.315	0.107	0.315	0.057	0.315	0.051	0.315	0.054	0.315	0.048
0.316	0.098	0.316	0.040	0.316	0.008	0.316	0.078	0.316	0.058	0.316	0.092	0.316	0.083	0.316	0.086	0.316	0.046
0.316	0.098	0.316	0.101	0.316	0.022	0.316	0.072	0.316	0.081	0.316	0.012	0.316	0.088	0.316	0.078	0.316	0.095
0.317	0.080	0.317	0.095	0.317	0.075	0.317	0.038	0.317	0.092	0.317	0.072	0.317	0.046	0.317	0.048	0.317	0.075
0.317	0.072	0.317	0.107	0.317	0.046	0.317	0.025	0.317	0.100	0.317	0.074	0.317	0.055	0.317	0.029	0.317	0.046
0.318	0.038	0.318	0.089	0.318	-0.006	0.318	0.011	0.318	0.121	0.318	0.074	0.318	0.088	0.318	0.068	0.318	0.042
0.318	0.112	0.318	0.088	0.318	0.022	0.318	0.048	0.318	0.092	0.318	0.035	0.318	0.123	0.318	0.069	0.318	0.097
0.319	0.072	0.319	0.120	0.319	0.068	0.319	0.098	0.319	0.072	0.319	0.040	0.319	0.066	0.319	0.040	0.319	0.077
0.319	0.069	0.319	0.046	0.319	0.077	0.319	0.052	0.319	0.046	0.319	0.061	0.319	0.025	0.319	0.023	0.319	0.034
0.320	0.100	0.320	0.034	0.320	0.094	0.320	0.095	0.320	0.029	0.320	0.106	0.320	0.075	0.320	0.023	0.320	0.034
0.320	0.088	0.320	0.074	0.320	0.092	0.320	0.098	0.320	0.045	0.320	0.100	0.320	0.038	0.320	0.048	0.320	0.045
0.321	0.107	0.321	0.109	0.321	0.048	0.321	0.080	0.321	0.094	0.321	0.112	0.321	0.046	0.321	0.091	0.321	0.077
0.321	0.065	0.321	0.107	0.321	0.014	0.321	0.057	0.321	0.086	0.321	0.045	0.321	0.038	0.321	0.080	0.321	0.118
0.322	0.088	0.322	0.092	0.322	0.071	0.322	0.109	0.322	0.115	0.322	0.031	0.322	0.097	0.322	0.092	0.322	0.066
0.322	0.061	0.322	0.052	0.322	0.124	0.322	0.071	0.322	0.115	0.322	0.084	0.322	0.091	0.322	0.057	0.322	0.060
0.323	0.114	0.323	0.055	0.323	0.075	0.323	0.051	0.323	0.031	0.323	0.065	0.323	0.114	0.323	0.022	0.323	0.014
0.323	0.111	0.323	0.049	0.323	0.006	0.323	0.097	0.323	0.065	0.323	0.068	0.323	0.048	0.323	0.075	0.323	0.063
0.324	0.081	0.324	0.057	0.324	0.060	0.324	0.089	0.324	0.078	0.324	0.072	0.324	0.038	0.324	0.100	0.324	0.112
0.324	0.075	0.324	0.081	0.324	0.063	0.324	0.107	0.324	0.089	0.324	0.063	0.324	0.080	0.324	0.057	0.324	0.071
0.325	0.103	0.325	0.117	0.325	0.083	0.325	0.123	0.325	0.048	0.325	0.038	0.325	0.111	0.325	0.045	0.325	0.042
0.325	0.115	0.325	0.071	0.325	0.088	0.325	0.112	0.325	0.049	0.325	0.012	0.325	0.037	0.325	0.042	0.325	0.048
0.326	0.121	0.326	0.091	0.326	0.063	0.326	0.104	0.326	0.074	0.326	0.077	0.326	0.040	0.326	0.037	0.326	0.060
0.326	0.124	0.326	0.046	0.326	0.071	0.326	0.118	0.326	0.117	0.326	0.075	0.326	0.046	0.326	0.098	0.326	0.103
0.327	0.072	0.327	0.052	0.327	0.060	0.327	0.098	0.327	0.049	0.327	0.109	0.327	0.115	0.327	0.058	0.327	0.100
0.327	0.037	0.327	0.120	0.327	0.023	0.327	0.066	0.327	0.091	0.327	0.123	0.327	0.080	0.327	0.029	0.327	0.091
0.328	0.065	0.328	0.074	0.328	0.065	0.328	0.078	0.328	0.083	0.328	0.034	0.328	0.046	0.328	0.046	0.328	0.031
0.328	0.040	0.328	0.095	0.328	0.058	0.328	0.066	0.328	0.080	0.328	0.089	0.328	0.040	0.328	0.081	0.328	0.031
0.329	0.038	0.329	0.123	0.329	0.111	0.329	0.061	0.329	0.069	0.329	0.092	0.329	0.086	0.329	0.042	0.329	0.054
0.329	0.066	0.329	0.104	0.329	0.117	0.329	0.130	0.329	0.042	0.329	0.081	0.329	0.112	0.329	0.043	0.329	0.054
0.330	0.066	0.330	0.120	0.330	0.049	0.330	0.092	0.330	0.049	0.330	0.060	0.330	0.114	0.330	0.037	0.330	0.043
0.330	0.086	0.330	0.068	0.330	0.038	0.330	0.091	0.330	0.074	0.330	0.061	0.330	0.089	0.330	0.035	0.330	0.071
0.331	0.107	0.331	0.065	0.331	0.112	0.331	0.077	0.331	0.063	0.331	0.060	0.331	0.098	0.331	0.046	0.331	0.115
0.331	0.097	0.331	0.069	0.331	0.098	0.331	0.072	0.331	0.092	0.331	0.097	0.331	0.060	0.331	0.100	0.331	0.068
0.332	0.069	0.332	0.074	0.332	0.107	0.332	0.141	0.332	-0.001	0.332	0.061	0.332	0.066	0.332	0.074	0.332	0.071
0.332	0.048	0.332	0.084	0.332	0.112	0.332	0.107	0.332	0.031	0.332	0.049	0.332	0.078	0.332	0.097	0.332	0.025
0.333	0.071	0.333	0.095	0.333	0.063	0.333	0.101	0.333	0.086	0.333	0.038	0.333	0.069	0.333	0.107	0.333	0.042
0.333	0.101	0.333	0.042	0.333	0.061	0.333	0.065	0.333	0.086	0.333	0.103	0.333	0.124	0.333	0.092	0.333	0.129
0.334	0.103	0.334	0.038	0.334	0.052	0.334	0.115	0.334	0.118	0.334	0.097	0.334	0.089	0.334	0.069	0.334	0.117
0.334	0.065	0.334	0.100	0.334	0.031	0.334	0.092	0.334	0.084	0.334	0.065	0.334	0.086	0.334	0.040	0.334	0.086
0.335	0.088	0.335	0.097	0.335	0.034	0.335	0.092	0.335	0.054	0.335	0.042	0.335	0.063	0.335	0.089	0.335	0.097
0.335	0.150	0.335	0.134	0.335	0.063	0.335	0.060	0.335	0.046	0.335	0.069	0.335	0.080	0.335	0.068	0.335	0.097
0.336	0.095	0.336	0.118	0.336	0.092	0.336	0.141	0.336	0.081	0.336	0.123	0.336	0.106	0.336	0.104	0.336	0.098
0.336	0.069	0.336	0.153	0.336	0.104	0.336	0.141	0.336	0.098	0.336	0.097	0.336	0.134	0.336	0.063	0.336	0.101
0.337	0.112	0.337	0.107	0.337	0.103	0.337	0.111	0.337	0.071	0.337	0.055	0.337	0.129	0.337	0.029	0.337	0.068
0.337	0.153	0.337	0.060	0.337	0.084	0.337	0.103	0.337	0.017	0.337	0.094	0.337	0.092	0.337	0.071	0.337	0.074
0.338	0.127	0.338	0.031	0.338	0.058	0.338	0.098	0.338	0.055	0.338	0.031	0.338	0.049	0.338	0.121	0.338	0.081
0.338	0.127	0.338	0.135	0.338	0.094	0.338	0.084	0.338	0.109	0.338	0.045	0.338	0.071	0.338	0.094	0.338	0.071
0.339	0.107	0.339	0.106	0.339	0.061	0.339	0.084	0.339	0.132	0.339	0.071	0.339	0.052	0.339	0.054	0.339	0.063
0.339	0.127	0.339	0.088	0.339	0.055	0.339	0.149	0.339	0.088	0.339	0.117	0.339	0.068	0.339	0.035	0.339	0.042
0.340	0.137	0.340	0.078	0.340	0.038	0.340	0.111	0.340	0.048	0.340	0.097	0.340	0.060	0.340	0.103	0.340	0.095
0.340	0.075	0.340	0.114	0.340	0.071	0.340	0.072	0.340	0.038	0.340	0.072	0.340	0.077	0.340	0.075	0.340	0.095
0.341	0.100	0.341	0.026	0.341	0.103	0.341	0.081	0.341	0.075	0.341	0.040	0.341	0.083	0.341	0.084	0.341	0.124
0.341	0.066	0.341	0.074	0.341	0.066	0.341	0.129	0.341	0.061	0.341	0.015	0.341	0.104	0.341	0.081	0.341	0.130
0.342	0.046	0.342	0.104	0.342	0.042	0.342	0.138	0.342	0.103	0.342	0.037	0.342	0.118	0.342	0.071	0.342	0.103
0.342	0.074	0.342	0.134	0.342	0.088	0.342	0.084	0.342	0.149	0.342	0.069	0.342	0.075	0.342	0.078	0.342	0.061
