E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.081	-0.748	0.081	-0.827	0.081	-0.756	0.081	-0.738	0.081	-0.632	0.081	-0.676	0.081	-0.595	0.081	-0.678	0.081	-0.584
0.081	-0.771	0.081	-0.776	0.081	-0.770	0.081	-0.647	0.081	-0.616	0.081	-0.705	0.081	-0.584	0.081	-0.676	0.081	-0.517
0.080	-0.708	0.080	-0.804	0.080	-0.764	0.080	-0.774	0.080	-0.693	0.080	-0.685	0.080	-0.692	0.080	-0.661	0.080	-0.592
0.080	-0.748	0.080	-0.805	0.080	-0.790	0.080	-0.730	0.080	-0.722	0.080	-0.597	0.080	-0.650	0.080	-0.590	0.080	-0.546
0.079	-0.718	0.079	-0.883	0.079	-0.721	0.079	-0.814	0.079	-0.644	0.079	-0.587	0.079	-0.673	0.079	-0.529	0.079	-0.526
0.079	-0.747	0.079	-0.753	0.079	-0.696	0.079	-0.785	0.079	-0.710	0.079	-0.621	0.079	-0.652	0.079	-0.630	0.079	-0.498
0.078	-0.788	0.078	-0.816	0.078	-0.676	0.078	-0.787	0.078	-0.733	0.078	-0.669	0.078	-0.681	0.078	-0.589	0.078	-0.526
0.077	-0.687	0.077	-0.704	0.077	-0.817	0.077	-0.713	0.077	-0.638	0.077	-0.681	0.077	-0.633	0.077	-0.633	0.077	-0.600
0.077	-0.661	0.077	-0.770	0.077	-0.782	0.077	-0.727	0.077	-0.699	0.077	-0.753	0.077	-0.646	0.077	-0.650	0.077	-0.604
0.076	-0.718	0.076	-0.758	0.076	-0.756	0.076	-0.696	0.076	-0.696	0.076	-0.687	0.076	-0.584	0.076	-0.629	0.076	-0.500
0.076	-0.728	0.076	-0.828	0.076	-0.827	0.076	-0.659	0.076	-0.580	0.076	-0.613	0.076	-0.636	0.076	-0.564	0.076	-0.495
0.075	-0.825	0.075	-0.708	0.075	-0.853	0.075	-0.739	0.075	-0.656	0.075	-0.695	0.075	-0.624	0.075	-0.639	0.075	-0.610
0.075	-0.756	0.075	-0.702	0.075	-0.781	0.075	-0.770	0.075	-0.643	0.075	-0.658	0.075	-0.712	0.075	-0.727	0.075	-0.618
0.074	-0.747	0.074	-0.738	0.074	-0.794	0.074	-0.833	0.074	-0.741	0.074	-0.639	0.074	-0.684	0.074	-0.701	0.074	-0.630
0.074	-0.699	0.074	-0.807	0.074	-0.710	0.074	-0.739	0.074	-0.698	0.074	-0.635	0.074	-0.649	0.074	-0.609	0.074	-0.500
0.073	-0.736	0.073	-0.710	0.073	-0.715	0.073	-0.696	0.073	-0.682	0.073	-0.681	0.073	-0.604	0.073	-0.685	0.073	-0.564
0.073	-0.827	0.073	-0.728	0.073	-0.751	0.073	-0.681	0.073	-0.702	0.073	-0.581	0.073	-0.653	0.073	-0.543	0.073	-0.577
0.072	-0.771	0.072	-0.768	0.072	-0.787	0.072	-0.652	0.072	-0.731	0.072	-0.687	0.072	-0.618	0.072	-0.609	0.072	-0.580
0.072	-0.810	0.072	-0.761	0.072	-0.802	0.072	-0.715	0.072	-0.676	0.072	-0.662	0.072	-0.696	0.072	-0.601	0.072	-0.656
0.071	-0.800	0.071	-0.793	0.071	-0.767	0.071	-0.762	0.071	-0.641	0.071	-0.653	0.071	-0.689	0.071	-0.695	0.071	-0.486
0.071	-0.735	0.071	-0.859	0.071	-0.652	0.071	-0.744	0.071	-0.652	0.071	-0.643	0.071	-0.667	0.071	-0.661	0.071	-0.621
0.070	-0.825	0.070	-0.834	0.070	-0.701	0.070	-0.708	0.070	-0.718	0.070	-0.676	0.070	-0.570	0.070	-0.618	0.070	-0.653
0.070	-0.793	0.070	-0.791	0.070	-0.761	0.070	-0.687	0.070	-0.587	0.070	-0.689	0.070	-0.580	0.070	-0.633	0.070	-0.615
0.070	-0.797	0.070	-0.762	0.070	-0.731	0.070	-0.716	0.070	-0.707	0.070	-0.718	0.070	-0.646	0.070	-0.618	0.070	-0.557
0.069	-0.687	0.069	-0.750	0.069	-0.699	0.069	-0.672	0.069	-0.779	0.069	-0.656	0.069	-0.612	0.069	-0.675	0.069	-0.578
0.069	-0.722	0.069	-0.811	0.069	-0.776	0.069	-0.728	0.069	-0.765	0.069	-0.661	0.069	-0.682	0.069	-0.627	0.069	-0.526
0.068	-0.814	0.068	-0.802	0.068	-0.876	0.068	-0.774	0.068	-0.670	0.068	-0.678	0.068	-0.655	0.068	-0.593	0.068	-0.543
0.068	-0.920	0.068	-0.773	0.068	-0.790	0.068	-0.774	0.068	-0.689	0.068	-0.722	0.068	-0.669	0.068	-0.572	0.068	-0.578
0.067	-0.840	0.067	-0.742	0.067	-0.756	0.067	-0.747	0.067	-0.672	0.067	-0.613	0.067	-0.538	0.067	-0.549	0.067	-0.574
0.067	-0.764	0.067	-0.722	0.067	-0.810	0.067	-0.782	0.067	-0.652	0.067	-0.653	0.067	-0.609	0.067	-0.590	0.067	-0.586
0.066	-0.733	0.066	-0.790	0.066	-0.707	0.066	-0.759	0.066	-0.627	0.066	-0.621	0.066	-0.570	0.066	-0.627	0.066	-0.549
0.066	-0.762	0.066	-0.730	0.066	-0.731	0.066	-0.702	0.066	-0.649	0.066	-0.727	0.066	-0.616	0.066	-0.708	0.066	-0.633
0.065	-0.693	0.065	-0.731	0.065	-0.730	0.065	-0.784	0.065	-0.730	0.065	-0.636	0.065	-0.646	0.065	-0.610	0.065	-0.662
0.065	-0.754	0.065	-0.756	0.065	-0.751	0.065	-0.741	0.065	-0.762	0.065	-0.655	0.065	-0.630	0.065	-0.550	0.065	-0.647
0.064	-0.745	0.064	-0.771	0.064	-0.805	0.064	-0.820	0.064	-0.698	0.064	-0.735	0.064	-0.670	0.064	-0.653	0.064	-0.600
