E /V	I /uA	E /V	I /uA	E /V	I /uA
0.042	-0.807	0.042	-0.833	0.042	-0.810
0.041	-0.764	0.041	-0.771	0.041	-0.830
0.041	-0.819	0.041	-0.830	0.041	-0.845
0.040	-0.747	0.040	-0.862	0.040	-0.776
0.040	-0.825	0.040	-0.804	0.040	-0.756
0.039	-0.850	0.039	-0.774	0.039	-0.781
0.038	-0.868	0.038	-0.827	0.038	-0.814
0.038	-0.831	0.038	-0.827	0.038	-0.873
0.037	-0.808	0.037	-0.831	0.037	-0.817
0.037	-0.827	0.037	-0.799	0.037	-0.822
0.036	-0.802	0.036	-0.793	0.036	-0.833
0.036	-0.759	0.036	-0.788	0.036	-0.788
0.035	-0.784	0.035	-0.765	0.035	-0.813
0.035	-0.810	0.035	-0.759	0.035	-0.805
0.035	-0.781	0.035	-0.807	0.035	-0.782
0.034	-0.834	0.034	-0.767	0.034	-0.748
0.034	-0.804	0.034	-0.767	0.034	-0.750
0.033	-0.800	0.033	-0.784	0.033	-0.748
0.033	-0.802	0.033	-0.822	0.033	-0.787
0.032	-0.773	0.032	-0.800	0.032	-0.810
0.032	-0.753	0.032	-0.794	0.032	-0.811
0.031	-0.777	0.031	-0.736	0.031	-0.768
0.030	-0.796	0.030	-0.765	0.030	-0.767
0.030	-0.764	0.030	-0.759	0.030	-0.748
0.029	-0.782	0.029	-0.721	0.029	-0.718
0.029	-0.733	0.029	-0.788	0.029	-0.781
0.029	-0.776	0.029	-0.811	0.029	-0.808
0.028	-0.784	0.028	-0.846	0.028	-0.804
0.028	-0.785	0.028	-0.779	0.028	-0.747
0.027	-0.754	0.027	-0.761	0.027	-0.751
0.026	-0.742	0.026	-0.715	0.026	-0.764
0.026	-0.765	0.026	-0.834	0.026	-0.791
0.025	-0.848	0.025	-0.800	0.025	-0.747
0.025	-0.816	0.025	-0.799	0.025	-0.770
0.025	-0.779	0.025	-0.842	0.025	-0.807
0.024	-0.773	0.024	-0.831	0.024	-0.794
0.024	-0.819	0.024	-0.791	0.024	-0.758
0.023	-0.787	0.023	-0.822	0.023	-0.822
0.022	-0.791	0.022	-0.805	0.022	-0.807
0.022	-0.638	0.022	-0.702	0.022	-0.733
0.021	-0.747	0.021	-0.765	0.021	-0.794
0.021	-0.791	0.021	-0.741	0.021	-0.761
0.021	-0.825	0.021	-0.765	0.021	-0.850
0.020	-0.810	0.020	-0.759	0.020	-0.842
0.020	-0.814	0.020	-0.768	0.020	-0.776
0.019	-0.796	0.019	-0.796	0.019	-0.784
0.018	-0.828	0.018	-0.831	0.018	-0.747
0.018	-0.776	0.018	-0.877	0.018	-0.759
0.018	-0.742	0.018	-0.787	0.018	-0.784
0.017	-0.768	0.017	-0.813	0.017	-0.770
0.017	-0.819	0.017	-0.827	0.017	-0.776
0.016	-0.777	0.016	-0.813	0.016	-0.756
0.015	-0.799	0.015	-0.800	0.015	-0.765
0.015	-0.790	0.015	-0.731	0.015	-0.845
0.015	-0.823	0.015	-0.794	0.015	-0.788
0.014	-0.788	0.014	-0.777	0.014	-0.810
0.013	-0.810	0.013	-0.767	0.013	-0.831
0.013	-0.802	0.013	-0.753	0.013	-0.830
0.013	-0.817	0.013	-0.825	0.013	-0.794
0.012	-0.873	0.012	-0.831	0.012	-0.839
0.011	-0.797	0.011	-0.776	0.011	-0.773
0.011	-0.853	0.011	-0.823	0.011	-0.761
0.011	-0.799	0.011	-0.779	0.011	-0.790
0.010	-0.822	0.010	-0.773	0.010	-0.808
0.009	-0.808	0.009	-0.813	0.009	-0.845
0.009	-0.865	0.009	-0.833	0.009	-0.819
0.009	-0.834	0.009	-0.879	0.009	-0.799
0.008	-0.816	0.008	-0.834	0.008	-0.811
0.007	-0.764	0.007	-0.856	0.007	-0.850
0.007	-0.797	0.007	-0.830	0.007	-0.833
0.006	-0.856	0.006	-0.839	0.006	-0.879
0.006	-0.856	0.006	-0.843	0.006	-0.865
0.005	-0.883	0.005	-0.805	0.005	-0.850
0.005	-0.883	0.005	-0.848	0.005	-0.827
0.004	-0.842	0.004	-0.866	0.004	-0.880
0.004	-0.827	0.004	-0.871	0.004	-0.919
0.004	-0.819	0.004	-0.911	0.004	-0.850
0.003	-0.874	0.003	-0.877	0.003	-0.874
0.003	-0.937	0.003	-0.874	0.003	-0.957
0.002	-0.836	0.002	-0.773	0.002	-0.825
0.002	-0.931	0.002	-0.906	0.002	-0.857
0.001	-0.943	0.001	-0.877	0.001	-0.906
0.001	-0.931	0.001	-0.919	0.001	-0.908
0.000	-0.934	0.000	-0.885	0.000	-0.888
-0.001	-0.929	-0.001	-0.916	-0.001	-0.932
-0.001	-0.942	-0.001	-0.928	-0.001	-1.003
-0.002	-0.937	-0.002	-0.943	-0.002	-0.877
-0.002	-0.940	-0.002	-0.957	-0.002	-0.902
-0.003	-0.960	-0.003	-1.004	-0.003	-0.952
-0.003	-0.980	-0.003	-0.971	-0.003	-0.986
-0.004	-1.000	-0.004	-0.989	-0.004	-1.003
-0.004	-0.946	-0.004	-1.008	-0.004	-1.052
-0.004	-1.020	-0.004	-0.995	-0.004	-1.023
-0.005	-1.057	-0.005	-0.955	-0.005	-1.058
-0.005	-1.031	-0.005	-1.009	-0.005	-1.035
-0.006	-1.084	-0.006	-1.046	-0.006	-1.087
-0.006	-1.031	-0.006	-1.103	-0.006	-1.078
-0.007	-1.054	-0.007	-1.064	-0.007	-1.138
-0.007	-1.073	-0.007	-1.110	-0.007	-1.135
-0.008	-1.077	-0.008	-1.107	-0.008	-1.126
-0.009	-1.155	-0.009	-1.115	-0.009	-1.136
-0.009	-1.138	-0.009	-1.189	-0.009	-1.175
-0.009	-1.198	-0.009	-1.156	-0.009	-1.185
-0.010	-0.820	-0.010	-0.874	-0.010	-0.873
-0.009	-0.448	-0.009	-0.478	-0.009	-0.463
-0.009	-0.178	-0.009	-0.210	-0.009	-0.225
-0.009	0.014	-0.009	-0.064	-0.009	-0.032
-0.008	0.146	-0.008	0.094	-0.008	0.043
-0.007	0.229	-0.007	0.193	-0.007	0.161
-0.007	0.210	-0.007	0.241	-0.007	0.212
-0.006	0.310	-0.006	0.295	-0.006	0.272
-0.006	0.247	-0.006	0.359	-0.006	0.293
-0.005	0.397	-0.005	0.380	-0.005	0.359
-0.005	0.400	-0.005	0.370	-0.005	0.301
