E /V	I /uA	E /V	I /uA	E /V	I /uA
-0.015	-2.172	-0.015	-1.998	-0.015	-1.929
-0.016	-2.211	-0.016	-2.119	-0.016	-2.041
-0.017	-2.308	-0.017	-2.187	-0.017	-2.116
-0.018	-2.373	-0.018	-2.256	-0.018	-2.215
-0.019	-2.454	-0.019	-2.383	-0.019	-2.290
-0.020	-2.557	-0.020	-2.422	-0.020	-2.379
-0.021	-2.633	-0.021	-2.550	-0.021	-2.494
-0.022	-2.728	-0.022	-2.642	-0.022	-2.612
-0.023	-2.851	-0.023	-2.796	-0.023	-2.734
-0.024	-2.974	-0.024	-2.922	-0.024	-2.873
-0.025	-3.090	-0.025	-3.057	-0.025	-2.997
-0.026	-3.227	-0.026	-3.170	-0.026	-3.132
-0.027	-3.320	-0.027	-3.313	-0.027	-3.273
-0.028	-3.465	-0.028	-3.498	-0.028	-3.452
-0.029	-3.622	-0.029	-3.655	-0.029	-3.626
-0.030	-3.807	-0.030	-3.834	-0.030	-3.785
-0.031	-3.949	-0.031	-4.001	-0.031	-3.961
-0.032	-4.122	-0.032	-4.195	-0.032	-4.159
-0.033	-4.299	-0.033	-4.412	-0.033	-4.368
-0.034	-4.515	-0.034	-4.629	-0.034	-4.547
-0.035	-4.704	-0.035	-4.856	-0.035	-4.797
-0.036	-4.951	-0.036	-5.090	-0.036	-5.004
-0.037	-5.159	-0.037	-5.334	-0.037	-5.251
-0.038	-5.411	-0.038	-5.596	-0.038	-5.500
-0.039	-5.673	-0.039	-5.900	-0.039	-5.770
-0.040	-5.352	-0.040	-5.593	-0.040	-5.569
-0.039	-4.879	-0.039	-5.050	-0.039	-5.078
-0.038	-4.371	-0.038	-4.507	-0.038	-4.604
-0.037	-3.879	-0.037	-3.958	-0.037	-4.044
-0.036	-3.474	-0.036	-3.423	-0.036	-3.526
-0.035	-2.992	-0.035	-2.946	-0.035	-3.040
-0.034	-2.610	-0.034	-2.514	-0.034	-2.586
-0.033	-2.239	-0.033	-2.066	-0.033	-2.173
-0.032	-1.871	-0.032	-1.682	-0.032	-1.782
-0.031	-1.550	-0.031	-1.328	-0.031	-1.420
-0.030	-1.267	-0.030	-1.032	-0.030	-1.132
-0.029	-0.957	-0.029	-0.735	-0.029	-0.816
-0.028	-0.721	-0.028	-0.469	-0.028	-0.531
-0.027	-0.486	-0.027	-0.244	-0.027	-0.290
-0.026	-0.244	-0.026	-0.015	-0.026	-0.069
-0.025	-0.066	-0.025	0.190	-0.025	0.141
-0.024	0.123	-0.024	0.347	-0.024	0.315
-0.023	0.295	-0.023	0.508	-0.023	0.485
-0.022	0.422	-0.022	0.634	-0.022	0.641
-0.021	0.595	-0.021	0.772	-0.021	0.762
-0.020	0.733	-0.020	0.891	-0.020	0.879
-0.019	0.836	-0.019	1.005	-0.019	0.983
-0.018	0.940	-0.018	1.083	-0.018	1.091
-0.017	1.055	-0.017	1.173	-0.017	1.152
-0.016	1.158	-0.016	1.272	-0.016	1.236
-0.015	1.227	-0.015	1.307	-0.015	1.301
-0.014	1.304	-0.014	1.368	-0.014	1.373
-0.013	1.405	-0.013	1.405	-0.013	1.429
-0.012	1.454	-0.012	1.456	-0.012	1.446
-0.011	1.503	-0.011	1.485	-0.011	1.479
-0.010	1.540	-0.010	1.515	-0.010	1.499
-0.009	1.587	-0.009	1.523	-0.009	1.514
-0.008	1.584	-0.008	1.525	-0.008	1.497
-0.007	1.594	-0.007	1.597	-0.007	1.529
-0.006	1.626	-0.006	1.601	-0.006	1.494
-0.005	1.675	-0.005	1.610	-0.005	1.503
-0.004	1.646	-0.004	1.643	-0.004	1.500
-0.003	1.698	-0.003	1.606	-0.003	1.528
-0.002	1.701	-0.002	1.603	-0.002	1.518
-0.001	1.709	-0.001	1.606	-0.001	1.515
0.000	1.719	0.000	1.594	0.000	1.518
0.001	1.724	0.001	1.586	0.001	1.477
0.002	1.707	0.002	1.571	0.002	1.523
0.003	1.739	0.003	1.575	0.003	1.466
0.004	1.713	0.004	1.581	0.004	1.449
0.005	1.699	0.005	1.549	0.005	1.411
0.006	1.696	0.006	1.548	0.006	1.433
0.007	1.699	0.007	1.548	0.007	1.396
0.008	1.675	0.008	1.520	0.008	1.368
0.009	1.672	0.009	1.520	0.009	1.334
0.010	1.664	0.010	1.489	0.010	1.380
0.011	1.670	0.011	1.486	0.011	1.311
0.012	1.666	0.012	1.480	0.012	1.330
0.013	1.617	0.013	1.472	0.013	1.291
0.014	1.621	0.014	1.428	0.014	1.279
0.015	1.600	0.015	1.420	0.015	1.255
0.016	1.592	0.016	1.425	0.016	1.244
0.017	1.601	0.017	1.364	0.017	1.216
0.018	1.578	0.018	1.373	0.018	1.192
0.019	1.584	0.019	1.357	0.019	1.172
0.020	1.581	0.020	1.342	0.020	1.187
0.021	1.531	0.021	1.345	0.021	1.160
0.022	1.517	0.022	1.290	0.022	1.124
