Date: 01-03-22
Time: 20:13:53

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .1000
First vertex potential (V) = .0000
Second vertex potential (V) = .6000
Step potential (V) = .00030
Scan rate (V/s) = .05000
Equilibration time (s) = 
Number of Data Points =  3932 

 Potential	  Scan 1   	  Scan 2   	  Scan 3   	
 0.071716	-2.313721E-06	-2.320313E-06	-2.320313E-06
 0.071411	-2.420288E-06	-2.391724E-06	-2.395020E-06
 0.071106	-2.404907E-06	-2.396118E-06	-2.379639E-06
 0.070801	-2.505982E-06	-2.508179E-06	-2.490601E-06
 0.070496	-2.382935E-06	-2.368652E-06	-2.379639E-06
 0.070190	-2.464233E-06	-2.444458E-06	-2.455444E-06
 0.069885	-2.444458E-06	-2.459839E-06	-2.447754E-06
 0.069580	-2.578491E-06	-2.558716E-06	-2.545532E-06
 0.069275	-2.478516E-06	-2.467529E-06	-2.460938E-06
 0.068970	-2.552124E-06	-2.578491E-06	-2.581787E-06
 0.068665	-2.551025E-06	-2.570801E-06	-2.556519E-06
 0.068359	-2.703735E-06	-2.682861E-06	-2.672974E-06
 0.068054	-2.563110E-06	-2.579590E-06	-2.563110E-06
 0.067749	-2.607056E-06	-2.630127E-06	-2.624634E-06
 0.067444	-2.613648E-06	-2.600464E-06	-2.626831E-06
 0.067139	-2.722412E-06	-2.723511E-06	-2.737793E-06
 0.066833	-2.634522E-06	-2.651001E-06	-2.659790E-06
 0.066528	-2.753174E-06	-2.755371E-06	-2.767456E-06
 0.066223	-2.747681E-06	-2.750977E-06	-2.756470E-06
 0.065918	-2.864136E-06	-2.908081E-06	-2.914673E-06
 0.065613	-2.757568E-06	-2.801514E-06	-2.789429E-06
 0.065308	-2.866333E-06	-2.874024E-06	-2.876221E-06
 0.065002	-2.854248E-06	-2.875122E-06	-2.886108E-06
 0.064697	-2.986084E-06	-3.039917E-06	-3.057495E-06
 0.064392	-2.932251E-06	-2.954224E-06	-2.981690E-06
 0.064087	-3.028931E-06	-3.086060E-06	-3.117920E-06
 0.063782	-3.064087E-06	-3.115723E-06	-3.131104E-06
 0.063477	-3.227783E-06	-3.262940E-06	-3.286011E-06
 0.063171	-3.070679E-06	-3.165161E-06	-3.176148E-06
 0.062866	-3.165161E-06	-3.258545E-06	-3.296997E-06
 0.062561	-3.179443E-06	-3.277222E-06	-3.310181E-06
 0.062256	-3.349732E-06	-3.432129E-06	-3.453003E-06
 0.061951	-3.271729E-06	-3.402466E-06	-3.402466E-06
 0.061646	-3.402466E-06	-3.545288E-06	-3.576050E-06
 0.061340	-3.439819E-06	-3.576050E-06	-3.618897E-06
 0.061035	-3.618897E-06	-3.756226E-06	-3.808960E-06
 0.060730	-3.516724E-06	-3.691406E-06	-3.706787E-06
 0.060425	-3.666138E-06	-3.811157E-06	-3.840820E-06
 0.060120	-3.668335E-06	-3.855103E-06	-3.884766E-06
 0.059814	-3.844116E-06	-4.058350E-06	-4.138550E-06
 0.059509	-3.070679E-06	-4.052857E-06	-4.116577E-06
 0.059204	-4.034180E-06	-4.214356E-06	-4.262695E-06
 0.058899	-4.056152E-06	-4.303345E-06	-4.328613E-06
 0.058594	-4.238526E-06	-4.523071E-06	-4.576904E-06
 0.058289	-3.972656E-06	-4.294556E-06	-4.342896E-06
 0.057983	-4.124268E-06	-4.485718E-06	-4.535156E-06
 0.057678	-4.187988E-06	-4.585694E-06	-4.621948E-06
 0.057373	-4.411011E-06	-4.792236E-06	-4.862549E-06
 0.057068	-4.376953E-06	-4.795532E-06	-4.852661E-06
 0.056763	-4.545044E-06	-5.018555E-06	-5.082276E-06
 0.056458	-4.584595E-06	-5.091065E-06	-5.166870E-06
 0.056152	-4.804321E-06	-5.318482E-06	-5.381104E-06
 0.055847	-4.716431E-06	-5.302002E-06	-5.331665E-06
 0.055542	-4.848267E-06	-5.434937E-06	-5.514038E-06
 0.055237	-4.869141E-06	-5.498657E-06	-5.539307E-06
 0.054932	-5.033936E-06	-5.731568E-06	-5.761231E-06
 0.054626	-5.003174E-06	-5.701904E-06	-5.715088E-06
 0.054321	-5.170166E-06	-5.833740E-06	-5.846924E-06
 0.054016	-5.177857E-06	-5.894165E-06	-5.883179E-06
 0.053711	-5.330567E-06	-6.101807E-06	-6.085327E-06
 0.053406	-5.166870E-06	-5.946900E-06	-5.921631E-06
 0.053101	-5.227295E-06	-5.994141E-06	-5.939209E-06
 0.052795	-5.195435E-06	-5.957886E-06	-5.884278E-06
 0.052490	-5.325073E-06	-6.041382E-06	-5.984253E-06
 0.052185	-5.158081E-06	-5.963379E-06	-5.804077E-06
 0.051880	-5.195435E-06	-6.015015E-06	-5.839234E-06
 0.051575	-5.139404E-06	-5.916138E-06	-5.752442E-06
 0.051270	-5.295410E-06	-5.962280E-06	-5.809570E-06
 0.050964	-5.043823E-06	-5.692017E-06	-5.539307E-06
 0.050659	-5.030640E-06	-5.655762E-06	-5.520630E-06
 0.050354	-4.936157E-06	-5.485474E-06	-5.373413E-06
 0.050049	-5.009766E-06	-5.539307E-06	-5.422852E-06
 0.049744	-4.853760E-06	-5.304199E-06	-5.203125E-06
 0.049438	-4.898804E-06	-5.306397E-06	-5.207520E-06
 0.049133	-4.770264E-06	-5.160278E-06	-5.055908E-06
 0.048828	-4.825195E-06	-5.219605E-06	-5.105347E-06
 0.048523	-4.602173E-06	-4.951538E-06	-4.830689E-06
 0.048218	-4.567017E-06	-4.860352E-06	-4.727417E-06
 0.047913	-4.400025E-06	-4.694458E-06	-4.570313E-06
 0.047607	-4.449463E-06	-4.732910E-06	-4.615357E-06
 0.047302	-4.263794E-06	-4.495606E-06	-4.381348E-06
 0.046997	-4.286865E-06	-4.504395E-06	-4.389038E-06
 0.046692	-4.193482E-06	-4.382446E-06	-4.284668E-06
 0.046387	-4.292359E-06	-4.424194E-06	-4.329712E-06
 0.046082	-4.025391E-06	-4.172608E-06	-4.061646E-06
 0.045776	-4.020996E-06	-4.147339E-06	-4.079224E-06
 0.045471	-3.935303E-06	-4.039673E-06	-3.962769E-06
 0.045166	-4.025391E-06	-4.097901E-06	-4.010010E-06
 0.044861	-3.829834E-06	-3.914429E-06	-3.829834E-06
 0.044556	-3.881470E-06	-3.945191E-06	-3.877075E-06
 0.044250	-3.789185E-06	-3.818848E-06	-3.760620E-06
 0.043945	-3.857300E-06	-3.910034E-06	-3.833130E-06
 0.043640	-3.637573E-06	-3.665039E-06	-3.592529E-06
 0.043335	-3.655151E-06	-3.629883E-06	-3.571655E-06
 0.043030	-3.517822E-06	-3.535401E-06	-3.458496E-06
 0.042725	-3.601318E-06	-3.622192E-06	-3.561768E-06
 0.042419	-3.451904E-06	-3.429932E-06	-3.369507E-06
 0.042114	-3.523316E-06	-3.473877E-06	-3.406860E-06
 0.041809	-3.436524E-06	-3.390381E-06	-3.331055E-06
 0.041504	-3.512329E-06	-3.471680E-06	-3.425537E-06
 0.041199	-3.296997E-06	-3.236572E-06	-3.171753E-06
 0.040894	-3.324463E-06	-3.276123E-06	-3.218994E-06
 0.040588	-3.262940E-06	-3.201416E-06	-3.142090E-06
 0.040283	-3.358521E-06	-3.268433E-06	-3.215698E-06
 0.039978	-3.175049E-06	-3.117920E-06	-3.046509E-06
 0.039673	-3.232178E-06	-3.151978E-06	-3.130005E-06
 0.039368	-3.184937E-06	-3.075073E-06	-3.043213E-06
 0.039063	-3.286011E-06	-3.172852E-06	-3.116821E-06
 0.038757	-3.025635E-06	-2.915772E-06	-2.869629E-06
 0.038452	-3.054199E-06	-2.941040E-06	-2.898193E-06
 0.038147	-2.973999E-06	-2.864136E-06	-2.824585E-06
 0.037842	-3.048706E-06	-2.949829E-06	-2.930054E-06
 0.037537	-2.946533E-06	-2.805908E-06	-2.776245E-06
 0.037231	-3.010254E-06	-2.860840E-06	-2.815796E-06
 0.036926	-2.912476E-06	-2.814697E-06	-2.761963E-06
 0.036621	-2.995972E-06	-2.897095E-06	-2.858643E-06
 0.036316	-2.831177E-06	-2.693848E-06	-2.674072E-06
 0.036011	-2.872925E-06	-2.752075E-06	-2.708130E-06
 0.035706	-2.815796E-06	-2.697144E-06	-2.685059E-06
 0.035400	-2.906983E-06	-2.774048E-06	-2.755371E-06
 0.035095	-2.776245E-06	-2.645508E-06	-2.598267E-06
 0.034790	-2.824585E-06	-2.713623E-06	-2.699341E-06
 0.034485	-2.807007E-06	-2.654297E-06	-2.642212E-06
 0.034180	-2.878418E-06	-2.739990E-06	-2.720215E-06
 0.033875	-2.668579E-06	-2.571899E-06	-2.540039E-06
 0.033569	-2.711426E-06	-2.589478E-06	-2.582886E-06
 0.033264	-2.672974E-06	-2.542236E-06	-2.507080E-06
 0.032959	-2.766358E-06	-2.641113E-06	-2.614746E-06
 0.032654	-2.621338E-06	-2.515869E-06	-2.486206E-06
 0.032349	-2.694946E-06	-2.562012E-06	-2.558716E-06
 0.032043	-2.642212E-06	-2.526856E-06	-2.504883E-06
 0.031738	-2.733399E-06	-2.622437E-06	-2.623535E-06
 0.031433	-2.588379E-06	-2.431274E-06	-2.440064E-06
 0.031128	-2.640015E-06	-2.510376E-06	-2.494995E-06
 0.030823	-2.567505E-06	-2.467529E-06	-2.453247E-06
 0.030518	-2.670776E-06	-2.559815E-06	-2.555420E-06
 0.030212	-2.566406E-06	-2.423584E-06	-2.414795E-06
 0.029907	-2.626831E-06	-2.509277E-06	-2.498291E-06
 0.029602	-2.585083E-06	-2.466431E-06	-2.456543E-06
 0.029297	-2.681763E-06	-2.543335E-06	-2.547730E-06
 0.028992	-2.496094E-06	-2.391724E-06	-2.385132E-06
 0.028687	-2.533447E-06	-2.424683E-06	-2.433472E-06
 0.028381	-2.496094E-06	-2.375244E-06	-2.363159E-06
 0.028076	-2.591675E-06	-2.458740E-06	-2.454346E-06
 0.027771	-2.448853E-06	-2.341187E-06	-2.348877E-06
 0.027466	-2.516968E-06	-2.413696E-06	-2.422485E-06
 0.027161	-2.492798E-06	-2.387329E-06	-2.370850E-06
 0.026855	-2.594971E-06	-2.499390E-06	-2.488403E-06
 0.026550	-2.426880E-06	-2.326904E-06	-2.317017E-06
 0.026245	-2.498291E-06	-2.382935E-06	-2.380737E-06
 0.025940	-2.433472E-06	-2.355469E-06	-2.333496E-06
 0.025635	-2.547730E-06	-2.453247E-06	-2.460938E-06
 0.025330	-2.437866E-06	-2.309326E-06	-2.326904E-06
 0.025024	-2.501587E-06	-2.415894E-06	-2.408203E-06
 0.024719	-2.448853E-06	-2.375244E-06	-2.376343E-06
 0.024414	-2.574097E-06	-2.470825E-06	-2.476318E-06
 0.024109	-2.382935E-06	-2.302734E-06	-2.296143E-06
 0.023804	-2.455444E-06	-2.381836E-06	-2.365357E-06
 0.023499	-2.419190E-06	-2.341187E-06	-2.332398E-06
 0.023193	-2.510376E-06	-2.414795E-06	-2.404907E-06
 0.022888	-2.371948E-06	-2.311524E-06	-2.304932E-06
 0.022583	-2.465332E-06	-2.404907E-06	-2.408203E-06
 0.022278	-2.441162E-06	-2.344482E-06	-2.346680E-06
 0.021973	-2.540039E-06	-2.465332E-06	-2.465332E-06
 0.021667	-2.364258E-06	-2.296143E-06	-2.315918E-06
 0.021362	-2.457642E-06	-2.363159E-06	-2.391724E-06
 0.021057	-2.406006E-06	-2.330200E-06	-2.336792E-06
 0.020752	-2.516968E-06	-2.453247E-06	-2.457642E-06
 0.020447	-2.415894E-06	-2.324707E-06	-2.325806E-06
 0.020142	-2.486206E-06	-2.415894E-06	-2.404907E-06
 0.019836	-2.429077E-06	-2.379639E-06	-2.386231E-06
 0.019531	-2.558716E-06	-2.470825E-06	-2.554321E-06
 0.019226	-2.297241E-06	-2.189575E-06	-2.260986E-06
 0.018921	-2.399414E-06	-2.326904E-06	-2.375244E-06
 0.018616	-2.355469E-06	-2.335693E-06	-2.335693E-06
 0.018311	-2.479614E-06	-2.425781E-06	-2.453247E-06
 0.018005	-2.360962E-06	-2.332398E-06	-2.312622E-06
 0.017700	-2.460938E-06	-2.425781E-06	-2.412598E-06
 0.017395	-2.420288E-06	-2.379639E-06	-2.377441E-06
 0.017090	-2.524658E-06	-2.496094E-06	-2.473023E-06
 0.016785	-2.351074E-06	-2.326904E-06	-2.329102E-06
 0.016479	-2.454346E-06	-2.475220E-06	-2.401611E-06
 0.016174	-2.425781E-06	-2.404907E-06	-2.356567E-06
 0.015869	-2.516968E-06	-2.529053E-06	-2.481812E-06
 0.015564	-2.392822E-06	-2.397217E-06	-2.379639E-06
 0.015259	-2.491699E-06	-2.476318E-06	-2.452149E-06
 0.014954	-2.447754E-06	-2.443359E-06	-2.418091E-06
 0.014648	-2.586182E-06	-2.553223E-06	-2.551025E-06
 0.014343	-2.412598E-06	-2.364258E-06	-2.375244E-06
 0.014038	-2.456543E-06	-2.431274E-06	-2.432373E-06
 0.013733	-2.416992E-06	-2.414795E-06	-2.415894E-06
 0.013428	-2.546631E-06	-2.513672E-06	-2.526856E-06
 0.013123	-2.433472E-06	-2.404907E-06	-2.391724E-06
 0.012817	-2.518066E-06	-2.511475E-06	-2.494995E-06
 0.012512	-2.498291E-06	-2.468628E-06	-2.455444E-06
 0.012207	-2.592774E-06	-2.593872E-06	-2.570801E-06
 0.011902	-2.420288E-06	-2.437866E-06	-2.425781E-06
 0.011597	-2.534546E-06	-2.524658E-06	-2.520264E-06
 0.011292	-2.510376E-06	-2.464233E-06	-2.482910E-06
 0.010986	-2.588379E-06	-2.594971E-06	-2.605957E-06
 0.010681	-2.479614E-06	-2.490601E-06	-2.496094E-06
 0.010376	-2.598267E-06	-2.574097E-06	-2.581787E-06
 0.010071	-2.570801E-06	-2.557617E-06	-2.533447E-06
 0.009766	-2.682861E-06	-2.681763E-06	-2.693848E-06
 0.009460	-2.520264E-06	-2.512573E-06	-2.520264E-06
 0.009155	-2.577393E-06	-2.566406E-06	-2.569702E-06
 0.008850	-2.504883E-06	-2.530151E-06	-2.536743E-06
 0.008545	-2.654297E-06	-2.660889E-06	-2.652100E-06
 0.008240	-2.534546E-06	-2.523560E-06	-2.530151E-06
 0.007935	-2.611450E-06	-2.648804E-06	-2.627930E-06
 0.007629	-2.586182E-06	-2.614746E-06	-2.618042E-06
