E /V	I /uA	E /V	I /uA	E /V	I /uA
0.019	4.347	0.019	4.593	0.019	4.620
0.020	4.354	0.020	4.589	0.020	4.632
0.021	4.451	0.021	4.646	0.021	4.698
0.022	4.457	0.022	4.681	0.022	4.742
0.023	4.528	0.023	4.759	0.023	4.831
0.024	4.587	0.024	4.790	0.024	4.848
0.025	4.647	0.025	4.859	0.025	4.899
0.026	4.682	0.026	4.885	0.026	4.916
0.027	4.751	0.027	4.974	0.027	5.011
0.028	4.768	0.028	4.986	0.028	5.043
0.029	4.843	0.029	5.040	0.029	5.055
0.030	4.845	0.030	5.069	0.030	5.090
0.031	4.932	0.031	5.121	0.031	5.170
0.032	4.951	0.032	5.153	0.032	5.178
0.033	5.024	0.033	5.209	0.033	5.230
0.034	5.047	0.034	5.224	0.034	5.273
0.035	5.133	0.035	5.333	0.035	5.353
0.036	5.129	0.036	5.325	0.036	5.370
0.037	5.159	0.037	5.353	0.037	5.393
0.038	5.193	0.038	5.437	0.038	5.452
0.039	5.294	0.039	5.469	0.039	5.514
0.040	5.327	0.040	5.492	0.040	5.532
0.041	5.368	0.041	5.578	0.041	5.595
0.042	5.400	0.042	5.598	0.042	5.638
0.043	5.554	0.043	5.696	0.043	5.718
0.044	5.520	0.044	5.693	0.044	5.725
0.045	5.620	0.045	5.808	0.045	5.834
0.046	5.629	0.046	5.819	0.046	5.831
0.047	5.730	0.047	5.920	0.047	5.932
0.048	5.771	0.048	5.943	0.048	5.972
0.049	5.883	0.049	6.015	0.049	6.064
0.050	5.914	0.050	6.078	0.050	6.101
0.051	6.064	0.051	6.227	0.051	6.262
0.052	6.067	0.052	6.230	0.052	6.245
0.053	6.141	0.053	6.354	0.053	6.369
0.054	6.187	0.054	6.399	0.054	6.440
0.055	6.322	0.055	6.501	0.055	6.543
0.056	6.377	0.056	6.570	0.056	6.616
0.057	6.474	0.057	6.662	0.057	6.704
0.058	6.532	0.058	6.735	0.058	6.753
0.059	6.695	0.059	6.917	0.059	6.932
0.060	6.779	0.060	6.968	0.060	6.998
0.061	6.896	0.061	7.081	0.061	7.146
0.062	6.966	0.062	7.185	0.062	7.193
0.063	7.109	0.063	7.323	0.063	7.343
0.064	7.181	0.064	7.397	0.064	7.486
0.065	7.313	0.065	7.526	0.065	7.601
0.066	7.414	0.066	7.616	0.066	7.715
0.067	7.667	0.067	7.905	0.067	7.988
0.068	7.673	0.068	7.948	0.068	8.003
0.069	7.827	0.069	8.080	0.069	8.164
0.070	7.922	0.070	8.129	0.070	8.261
0.071	8.063	0.071	8.322	0.071	8.408
0.072	8.112	0.072	8.371	0.072	8.506
0.073	8.251	0.073	8.532	0.073	8.652
0.074	8.354	0.074	8.629	0.074	8.744
0.075	8.583	0.075	8.819	0.075	8.957
0.076	8.592	0.076	8.909	0.076	9.015
0.077	8.690	0.077	9.043	0.077	9.159
0.078	8.773	0.078	9.075	0.078	9.237
0.079	8.906	0.079	9.251	0.079	9.406
0.080	8.988	0.080	9.282	0.080	9.458
0.081	9.067	0.081	9.405	0.081	9.584
0.082	9.095	0.082	9.461	0.082	9.630
0.083	9.290	0.083	9.615	0.083	9.787
0.084	9.247	0.084	9.596	0.084	9.754
0.085	9.296	0.085	9.618	0.085	9.785
0.086	9.228	0.086	9.558	0.086	9.739
0.087	9.216	0.087	9.578	0.087	9.753
0.088	9.126	0.088	9.468	0.088	9.644
0.089	9.058	0.089	9.425	0.089	9.570
0.090	8.914	0.090	9.257	0.090	9.422
0.091	8.842	0.091	9.175	0.091	9.296
0.092	8.619	0.092	8.961	0.092	9.090
0.093	8.488	0.093	8.768	0.093	8.932
0.094	8.251	0.094	8.573	0.094	8.678
0.095	8.136	0.095	8.440	0.095	8.560
0.096	7.846	0.096	8.158	0.096	8.233
0.097	7.669	0.097	7.983	0.097	8.064
0.098	7.445	0.098	7.751	0.098	7.839
0.099	7.342	0.099	7.629	0.099	7.669
0.100	7.069	0.100	7.376	0.100	7.422
